D_TEMPORAL_0;D_CNAE09_0;D_ESTRATO_ASALARIADOS_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2018;6949;38282;3143;38435;% de empresas con impresión 3D;2.2042847178480147;A
2018;7058;38282;3143;38435;% de empresas con impresión 3D;4.035079639848215;A
2018;7605;38282;3143;38435;% de empresas con impresión 3D;0.2727869203668704;A
2018;838683;38282;3143;38435;% de empresas con impresión 3D;5.64658728911377;A
2018;838684;38282;3143;38435;% de empresas con impresión 3D;10.268380303409899;A
2018;838685;38282;3143;38435;% de empresas con impresión 3D;8.25139758956124;A
2018;7627;38282;3143;38435;% de empresas con impresión 3D;0.593385114813268;A
2018;7663;38282;3143;38435;% de empresas con impresión 3D;3.1504687974037293;A
2018;7716;38282;3143;38435;% de empresas con impresión 3D;1.3182577045923707;A
2018;7859;38282;3143;38435;% de empresas con impresión 3D;1.0970732971306625;A
2018;7958;38282;3143;38435;% de empresas con impresión 3D;0.07970742688900376;A
2018;8031;38282;3143;38435;% de empresas con impresión 3D;6.761351637083502;A
2018;8165;38282;3143;38435;% de empresas con impresión 3D;4.186040334461359;A
2018;8255;38282;3143;38435;% de empresas con impresión 3D;0.07676974913760515;A
2020;6949;38282;3143;38435;% de empresas con impresión 3D;3.1129959234494384;A
2020;7058;38282;3143;38435;% de empresas con impresión 3D;5.14005110579023;A
2020;7605;38282;3143;38435;% de empresas con impresión 3D;3.4737037360165397;A
2020;838683;38282;3143;38435;% de empresas con impresión 3D;3.5515099830518566;A
2020;838684;38282;3143;38435;% de empresas con impresión 3D;6.510435710380055;A
2020;838685;38282;3143;38435;% de empresas con impresión 3D;9.741032316727186;A
2020;7627;38282;3143;38435;% de empresas con impresión 3D;1.6268560361943671;A
2020;7663;38282;3143;38435;% de empresas con impresión 3D;0.14890471468662653;A
2020;7716;38282;3143;38435;% de empresas con impresión 3D;3.3782128279411396;A
2020;7859;38282;3143;38435;% de empresas con impresión 3D;1.0399824128917676;A
2020;7958;38282;3143;38435;% de empresas con impresión 3D;1.0799918522185112;A
2020;7888;38282;3143;38435;% de empresas con impresión 3D;7.754061413815666;A
2020;8031;38282;3143;38435;% de empresas con impresión 3D;14.139229631911151;A
2020;8165;38282;3143;38435;% de empresas con impresión 3D;7.897286753027215;A
2020;8255;38282;3143;38435;% de empresas con impresión 3D;4.391831115214924;A
2018;6949;24142;3143;38435;% de empresas con impresión 3D;1.6169296407598925;A
2018;7058;24142;3143;38435;% de empresas con impresión 3D;2.3571305203489303;A
2018;7605;24142;3143;38435;% de empresas con impresión 3D;;A
2018;838683;24142;3143;38435;% de empresas con impresión 3D;;A
2018;838684;24142;3143;38435;% de empresas con impresión 3D;9.825210155609401;A
2018;838685;24142;3143;38435;% de empresas con impresión 3D;5.015165411335996;A
2018;7627;24142;3143;38435;% de empresas con impresión 3D;;A
2018;7663;24142;3143;38435;% de empresas con impresión 3D;3.060958659552759;A
2018;7716;24142;3143;38435;% de empresas con impresión 3D;0.9693545675327474;A
2018;7859;24142;3143;38435;% de empresas con impresión 3D;0.9979885737425486;A
2018;7958;24142;3143;38435;% de empresas con impresión 3D;;A
2018;8031;24142;3143;38435;% de empresas con impresión 3D;5.476666545512605;A
2018;8165;24142;3143;38435;% de empresas con impresión 3D;2.193202000101617;A
2018;8255;24142;3143;38435;% de empresas con impresión 3D;;A
2020;6949;24142;3143;38435;% de empresas con impresión 3D;2.3784708914234813;A
2020;7058;24142;3143;38435;% de empresas con impresión 3D;2.8687022830712565;A
2020;7605;24142;3143;38435;% de empresas con impresión 3D;2.6516656178230056;A
2020;838683;24142;3143;38435;% de empresas con impresión 3D;;A
2020;838684;24142;3143;38435;% de empresas con impresión 3D;5.835551607326085;A
2020;838685;24142;3143;38435;% de empresas con impresión 3D;4.268731990739376;A
