D_TEMPORAL_0;D_TERRITORIO_0;D_ESTADOCIVIL_0;D_ESTADOCIVILC2_0;INDICATOR;OBS_VALUE;FREQ
2020;3143;4325;4967;Divorcios;13992.45022;A
2020;3143;4325;4958;Divorcios;12984.57027;A
2020;3143;4325;4962;Divorcios;50.81271;A
2020;3143;4325;4965;Divorcios;957.06724;A
2020;3143;4316;4967;Divorcios;12774.03164;A
2020;3143;4316;4958;Divorcios;12252.15162;A
2020;3143;4316;4962;Divorcios;40.50876;A
2020;3143;4316;4965;Divorcios;481.37126;A
2020;3143;4320;4967;Divorcios;91.07744;A
2020;3143;4320;4958;Divorcios;70.01074;A
2020;3143;4320;4962;Divorcios;1.71681;A
2020;3143;4320;4965;Divorcios;19.34989;A
2020;3143;4323;4967;Divorcios;1127.34114;A
2020;3143;4323;4958;Divorcios;662.40791;A
2020;3143;4323;4962;Divorcios;8.58714;A
2020;3143;4323;4965;Divorcios;456.34609;A
2020;2352;4325;4967;Divorcios;1287.5417;A
2020;2352;4325;4958;Divorcios;1161.18004;A
2020;2352;4325;4962;Divorcios;6.40458;A
2020;2352;4325;4965;Divorcios;119.95708;A
2020;2352;4316;4967;Divorcios;1192.0251;A
2020;2352;4316;4958;Divorcios;1101.07268;A
2020;2352;4316;4962;Divorcios;6.40458;A
2020;2352;4316;4965;Divorcios;84.54784;A
2020;2352;4320;4967;Divorcios;4.26972;A
2020;2352;4320;4958;Divorcios;4.26972;A
2020;2352;4323;4967;Divorcios;91.24688;A
2020;2352;4323;4958;Divorcios;55.83764;A
2020;2352;4323;4965;Divorcios;35.40924;A
2020;2402;4325;4967;Divorcios;1956.38358;A
2020;2402;4325;4958;Divorcios;1815.78686;A
2020;2402;4325;4962;Divorcios;7.34955;A
2020;2402;4325;4965;Divorcios;133.24717;A
2020;2402;4316;4967;Divorcios;1777.88894;A
2020;2402;4316;4958;Divorcios;1733.83062;A
2020;2402;4316;4962;Divorcios;5.24411;A
2020;2402;4316;4965;Divorcios;38.81421;A
2020;2402;4320;4967;Divorcios;19.98219;A
2020;2402;4320;4958;Divorcios;14.73808;A
2020;2402;4320;4965;Divorcios;5.24411;A
2020;2402;4323;4967;Divorcios;158.51245;A
2020;2402;4323;4958;Divorcios;67.21816;A
2020;2402;4323;4962;Divorcios;2.10544;A
2020;2402;4323;4965;Divorcios;89.18885;A
2020;2482;4325;4967;Divorcios;1295.68526;A
2020;2482;4325;4958;Divorcios;1207.81489;A
2020;2482;4325;4962;Divorcios;7.07445;A
2020;2482;4325;4965;Divorcios;80.79592;A
2020;2482;4316;4967;Divorcios;1172.8272;A
2020;2482;4316;4958;Divorcios;1136.33444;A
2020;2482;4316;4962;Divorcios;5.02571;A
2020;2482;4316;4965;Divorcios;31.46705;A
2020;2482;4320;4967;Divorcios;10.05142;A
2020;2482;4320;4958;Divorcios;8.00268;A
2020;2482;4320;4965;Divorcios;2.04874;A
2020;2482;4323;4967;Divorcios;112.80664;A
2020;2482;4323;4958;Divorcios;63.47777;A
2020;2482;4323;4962;Divorcios;2.04874;A
2020;2482;4323;4965;Divorcios;47.28013;A
2020;2713;4325;4967;Divorcios;1333.9225;A
2020;2713;4325;4958;Divorcios;1255.01003;A
2020;2713;4325;4962;Divorcios;2.59639;A
2020;2713;4325;4965;Divorcios;76.31608;A
2020;2713;4316;4967;Divorcios;1240.31934;A
2020;2713;4316;4958;Divorcios;1203.90332;A
2020;2713;4316;4962;Divorcios;2.59639;A
2020;2713;4316;4965;Divorcios;33.81963;A
2020;2713;4323;4967;Divorcios;93.60316;A
2020;2713;4323;4958;Divorcios;51.10671;A
2020;2713;4323;4965;Divorcios;42.49645;A
2020;2797;4325;4967;Divorcios;832.55851;A
2020;2797;4325;4958;Divorcios;765.02667;A
2020;2797;4325;4962;Divorcios;6.11231;A
2020;2797;4325;4965;Divorcios;61.41953;A
2020;2797;4316;4967;Divorcios;763.27627;A
2020;2797;4316;4958;Divorcios;723.39804;A
2020;2797;4316;4962;Divorcios;6.11231;A
2020;2797;4316;4965;Divorcios;33.76592;A
2020;2797;4323;4967;Divorcios;69.28224;A
2020;2797;4323;4958;Divorcios;41.62863;A
2020;2797;4323;4965;Divorcios;27.65361;A
2020;2911;4325;4967;Divorcios;886.77634;A
2020;2911;4325;4958;Divorcios;839.78409;A
2020;2911;4325;4965;Divorcios;46.99225;A
2020;2911;4316;4967;Divorcios;796.74465;A
2020;2911;4316;4958;Divorcios;772.10263;A
2020;2911;4316;4965;Divorcios;24.64202;A
2020;2911;4320;4967;Divorcios;9.39845;A
2020;2911;4320;4958;Divorcios;9.39845;A
2020;2911;4323;4967;Divorcios;80.63324;A
2020;2911;4323;4958;Divorcios;58.28301;A
2020;2911;4323;4965;Divorcios;22.35023;A
2020;3023;4325;4967;Divorcios;3009.31704;A
2020;3023;4325;4958;Divorcios;2751.77361;A
2020;3023;4325;4962;Divorcios;11.69204;A
2020;3023;4325;4965;Divorcios;245.85139;A
2020;3023;4316;4967;Divorcios;2701.25574;A
2020;3023;4316;4958;Divorcios;2550.21181;A
2020;3023;4316;4962;Divorcios;11.69204;A
2020;3023;4316;4965;Divorcios;139.35189;A
2020;3023;4320;4967;Divorcios;35.07612;A
2020;3023;4320;4958;Divorcios;25.73523;A
2020;3023;4320;4965;Divorcios;9.34089;A
2020;3023;4323;4967;Divorcios;272.98518;A
2020;3023;4323;4958;Divorcios;175.82657;A
2020;3023;4323;4965;Divorcios;97.15861;A
2020;3142;4325;4967;Divorcios;3390.26529;A
2020;3142;4325;4958;Divorcios;3188.19408;A
2020;3142;4325;4962;Divorcios;9.58339;A
2020;3142;4325;4965;Divorcios;192.48782;A
2020;3142;4316;4967;Divorcios;3129.6944;A
2020;3142;4316;4958;Divorcios;3031.29808;A
2020;3142;4316;4962;Divorcios;3.43362;A
2020;3142;4316;4965;Divorcios;94.9627;A
2020;3142;4320;4967;Divorcios;12.29954;A
2020;3142;4320;4958;Divorcios;7.86658;A
2020;3142;4320;4962;Divorcios;1.71681;A
2020;3142;4320;4965;Divorcios;2.71615;A
2020;3142;4323;4967;Divorcios;248.27135;A
2020;3142;4323;4958;Divorcios;149.02942;A
2020;3142;4323;4962;Divorcios;4.43296;A
2020;3142;4323;4965;Divorcios;94.80897;A
2019;3143;4325;4967;Divorcios;17078.2748;A
2019;3143;4325;4958;Divorcios;15922.65804;A
2019;3143;4325;4962;Divorcios;77.31374;A
2019;3143;4325;4965;Divorcios;1078.30302;A
2019;3143;4316;4967;Divorcios;15656.69183;A
2019;3143;4316;4958;Divorcios;15067.10054;A
2019;3143;4316;4962;Divorcios;48.70722;A
2019;3143;4316;4965;Divorcios;540.88407;A
2019;3143;4320;4967;Divorcios;100.20274;A
2019;3143;4320;4958;Divorcios;55.09186;A
2019;3143;4320;4962;Divorcios;12.2575;A
2019;3143;4320;4965;Divorcios;32.85338;A
2019;3143;4323;4967;Divorcios;1321.38023;A
2019;3143;4323;4958;Divorcios;800.46564;A
2019;3143;4323;4962;Divorcios;16.34902;A
2019;3143;4323;4965;Divorcios;504.56557;A
2019;2352;4325;4967;Divorcios;1684.43364;A
2019;2352;4325;4958;Divorcios;1532.63931;A
2019;2352;4325;4962;Divorcios;8.12148;A
2019;2352;4325;4965;Divorcios;143.67285;A
2019;2352;4316;4967;Divorcios;1512.88671;A
2019;2352;4316;4958;Divorcios;1441.78992;A
2019;2352;4316;4962;Divorcios;6.09111;A
2019;2352;4316;4965;Divorcios;65.00568;A
2019;2352;4320;4967;Divorcios;4.06074;A
2019;2352;4320;4962;Divorcios;2.03037;A
2019;2352;4320;4965;Divorcios;2.03037;A
2019;2352;4323;4967;Divorcios;167.48619;A
2019;2352;4323;4958;Divorcios;90.84939;A
2019;2352;4323;4965;Divorcios;76.6368;A
2019;2402;4325;4967;Divorcios;2350.11045;A
2019;2402;4325;4958;Divorcios;2162.79095;A
2019;2402;4325;4962;Divorcios;12.66128;A
2019;2402;4325;4965;Divorcios;174.65822;A
2019;2402;4316;4967;Divorcios;2182.91411;A
2019;2402;4316;4958;Divorcios;2067.20201;A
2019;2402;4316;4962;Divorcios;12.66128;A
2019;2402;4316;4965;Divorcios;103.05082;A
2019;2402;4320;4967;Divorcios;14.84142;A
2019;2402;4320;4958;Divorcios;10.48114;A
2019;2402;4320;4965;Divorcios;4.36028;A
2019;2402;4323;4967;Divorcios;152.35492;A
2019;2402;4323;4958;Divorcios;85.1078;A
2019;2402;4323;4965;Divorcios;67.24712;A
2019;2482;4325;4967;Divorcios;1369.08113;A
2019;2482;4325;4958;Divorcios;1289.30587;A
2019;2482;4325;4962;Divorcios;1.46233;A
2019;2482;4325;4965;Divorcios;78.31293;A
2019;2482;4316;4967;Divorcios;1273.73287;A
2019;2482;4316;4958;Divorcios;1224.22947;A
2019;2482;4316;4965;Divorcios;49.5034;A
2019;2482;4320;4967;Divorcios;7.16596;A
2019;2482;4320;4958;Divorcios;3.58298;A
2019;2482;4320;4962;Divorcios;1.46233;A
2019;2482;4320;4965;Divorcios;2.12065;A
2019;2482;4323;4967;Divorcios;88.1823;A
2019;2482;4323;4958;Divorcios;61.49342;A
2019;2482;4323;4965;Divorcios;26.68888;A
2019;2713;4325;4967;Divorcios;1634.5488;A
2019;2713;4325;4958;Divorcios;1519.65056;A
2019;2713;4325;4962;Divorcios;12.97776;A
2019;2713;4325;4965;Divorcios;101.92048;A
2019;2713;4316;4967;Divorcios;1497.49824;A
2019;2713;4316;4958;Divorcios;1449.47152;A
2019;2713;4316;4962;Divorcios;7.19184;A
2019;2713;4316;4965;Divorcios;40.83488;A
2019;2713;4320;4967;Divorcios;17.27664;A
2019;2713;4320;4958;Divorcios;10.0848;A
2019;2713;4320;4965;Divorcios;7.19184;A
2019;2713;4323;4967;Divorcios;119.77392;A
2019;2713;4323;4958;Divorcios;60.09424;A
2019;2713;4323;4962;Divorcios;5.78592;A
2019;2713;4323;4965;Divorcios;53.89376;A
2019;2797;4325;4967;Divorcios;1003.79841;A
2019;2797;4325;4958;Divorcios;925.618;A
2019;2797;4325;4962;Divorcios;3.05689;A
2019;2797;4325;4965;Divorcios;75.12352;A
2019;2797;4316;4967;Divorcios;916.44733;A
2019;2797;4316;4958;Divorcios;879.88455;A
2019;2797;4316;4965;Divorcios;36.56278;A
2019;2797;4320;4967;Divorcios;6.11378;A
2019;2797;4320;4958;Divorcios;3.05689;A
2019;2797;4320;4962;Divorcios;3.05689;A
2019;2797;4323;4967;Divorcios;81.2373;A
2019;2797;4323;4958;Divorcios;42.67656;A
2019;2797;4323;4965;Divorcios;38.56074;A
2019;2911;4325;4967;Divorcios;1181.24056;A
2019;2911;4325;4958;Divorcios;1120.40558;A
2019;2911;4325;4962;Divorcios;3.04022;A
2019;2911;4325;4965;Divorcios;57.79476;A
2019;2911;4316;4967;Divorcios;1104.69268;A
2019;2911;4316;4958;Divorcios;1072.24328;A
2019;2911;4316;4962;Divorcios;3.04022;A
2019;2911;4316;4965;Divorcios;29.40918;A
2019;2911;4320;4967;Divorcios;3.04022;A
2019;2911;4320;4965;Divorcios;3.04022;A
2019;2911;4323;4967;Divorcios;73.50766;A
2019;2911;4323;4958;Divorcios;48.1623;A
2019;2911;4323;4965;Divorcios;25.34536;A
2019;3023;4325;4967;Divorcios;3795.50761;A
2019;3023;4325;4958;Divorcios;3507.53588;A
2019;3023;4325;4962;Divorcios;27.52272;A
2019;3023;4325;4965;Divorcios;260.44901;A
2019;3023;4316;4967;Divorcios;3391.19452;A
2019;3023;4316;4958;Divorcios;3261.63437;A
2019;3023;4316;4962;Divorcios;13.76136;A
2019;3023;4316;4965;Divorcios;115.79879;A
2019;3023;4320;4967;Divorcios;19.78115;A
2019;3023;4320;4958;Divorcios;11.7277;A
2019;3023;4320;4962;Divorcios;5.70791;A
2019;3023;4320;4965;Divorcios;2.34554;A
2019;3023;4323;4967;Divorcios;384.53194;A
2019;3023;4323;4958;Divorcios;234.17381;A
2019;3023;4323;4962;Divorcios;8.05345;A
2019;3023;4323;4965;Divorcios;142.30468;A
2019;3142;4325;4967;Divorcios;4059.5542;A
2019;3142;4325;4958;Divorcios;3864.71189;A
2019;3142;4325;4962;Divorcios;8.47106;A
2019;3142;4325;4965;Divorcios;186.37125;A
2019;3142;4316;4967;Divorcios;3777.32537;A
2019;3142;4316;4958;Divorcios;3670.64542;A
2019;3142;4316;4962;Divorcios;5.96141;A
2019;3142;4316;4965;Divorcios;100.71854;A
2019;3142;4320;4967;Divorcios;27.92283;A
2019;3142;4320;4958;Divorcios;16.15835;A
2019;3142;4320;4965;Divorcios;11.76448;A
2019;3142;4323;4967;Divorcios;254.306;A
2019;3142;4323;4958;Divorcios;177.90812;A
2019;3142;4323;4962;Divorcios;2.50965;A
2019;3142;4323;4965;Divorcios;73.88823;A
2018;3143;4325;4967;Divorcios;16934.828;A
2018;3143;4325;4958;Divorcios;15784.5394;A
2018;3143;4325;4962;Divorcios;89.5937;A
2018;3143;4325;4965;Divorcios;1060.6949;A
2018;3143;4316;4967;Divorcios;15748.2391;A
2018;3143;4316;4958;Divorcios;15135.7913;A
2018;3143;4316;4962;Divorcios;51.4742;A
2018;3143;4316;4965;Divorcios;560.9736;A
2018;3143;4320;4967;Divorcios;125.3188;A
2018;3143;4320;4958;Divorcios;67.811;A
2018;3143;4320;4962;Divorcios;11.5758;A
2018;3143;4320;4965;Divorcios;45.932;A
2018;3143;4323;4967;Divorcios;1061.2701;A
2018;3143;4323;4958;Divorcios;580.9371;A
2018;3143;4323;4962;Divorcios;26.5437;A
2018;3143;4323;4965;Divorcios;453.7893;A
2018;2352;4325;4967;Divorcios;1456.1395;A
2018;2352;4325;4958;Divorcios;1325.528;A
2018;2352;4325;4962;Divorcios;9.3735;A
2018;2352;4325;4965;Divorcios;121.238;A
2018;2352;4316;4967;Divorcios;1345.6779;A
2018;2352;4316;4958;Divorcios;1262.1587;A
2018;2352;4316;4962;Divorcios;7.7458;A
2018;2352;4316;4965;Divorcios;75.7734;A
2018;2352;4320;4967;Divorcios;3.8729;A
2018;2352;4320;4965;Divorcios;3.8729;A
2018;2352;4323;4967;Divorcios;106.5887;A
2018;2352;4323;4958;Divorcios;63.3693;A
2018;2352;4323;4962;Divorcios;1.6277;A
2018;2352;4323;4965;Divorcios;41.5917;A
2018;2402;4325;4967;Divorcios;2490.3415;A
2018;2402;4325;4958;Divorcios;2368.3467;A
2018;2402;4325;4962;Divorcios;14.2172;A
2018;2402;4325;4965;Divorcios;107.7776;A
2018;2402;4316;4967;Divorcios;2333.8332;A
2018;2402;4316;4958;Divorcios;2280.8654;A
2018;2402;4316;4962;Divorcios;2.1781;A
2018;2402;4316;4965;Divorcios;50.7897;A
2018;2402;4320;4967;Divorcios;21.3258;A
2018;2402;4320;4958;Divorcios;9.2867;A
2018;2402;4320;4962;Divorcios;4.9305;A
2018;2402;4320;4965;Divorcios;7.1086;A
2018;2402;4323;4967;Divorcios;135.1825;A
2018;2402;4323;4958;Divorcios;78.1946;A
2018;2402;4323;4962;Divorcios;7.1086;A
2018;2402;4323;4965;Divorcios;49.8793;A
2018;2482;4325;4967;Divorcios;1405.7198;A
2018;2482;4325;4958;Divorcios;1327.7528;A
2018;2482;4325;4962;Divorcios;3.936;A
2018;2482;4325;4965;Divorcios;74.031;A
2018;2482;4316;4967;Divorcios;1298.777;A
2018;2482;4316;4958;Divorcios;1267.54;A
2018;2482;4316;4962;Divorcios;3.936;A
2018;2482;4316;4965;Divorcios;27.301;A
2018;2482;4320;4967;Divorcios;14.0692;A
2018;2482;4320;4958;Divorcios;8.3466;A
2018;2482;4320;4965;Divorcios;5.7226;A
2018;2482;4323;4967;Divorcios;92.8736;A
2018;2482;4323;4958;Divorcios;51.8662;A
2018;2482;4323;4965;Divorcios;41.0074;A
2018;2713;4325;4967;Divorcios;1684.5826;A
2018;2713;4325;4958;Divorcios;1537.7934;A
2018;2713;4325;4962;Divorcios;12.4886;A
2018;2713;4325;4965;Divorcios;134.3006;A
2018;2713;4316;4967;Divorcios;1556.2223;A
2018;2713;4316;4958;Divorcios;1487.5029;A
2018;2713;4316;4962;Divorcios;7.4131;A
2018;2713;4316;4965;Divorcios;61.3063;A
2018;2713;4320;4967;Divorcios;14.8262;A
2018;2713;4320;4958;Divorcios;7.0128;A
2018;2713;4320;4962;Divorcios;2.3376;A
2018;2713;4320;4965;Divorcios;5.4758;A
2018;2713;4323;4967;Divorcios;113.5341;A
2018;2713;4323;4958;Divorcios;43.2777;A
2018;2713;4323;4962;Divorcios;2.7379;A
2018;2713;4323;4965;Divorcios;67.5185;A
2018;2797;4325;4967;Divorcios;986.218;A
2018;2797;4325;4958;Divorcios;888.854;A
2018;2797;4325;4962;Divorcios;3.058;A
2018;2797;4325;4965;Divorcios;94.306;A
2018;2797;4316;4967;Divorcios;937.064;A
2018;2797;4316;4958;Divorcios;867.335;A
2018;2797;4316;4965;Divorcios;69.729;A
2018;2797;4320;4967;Divorcios;11.288;A
2018;2797;4320;4958;Divorcios;3.058;A
2018;2797;4320;4965;Divorcios;8.23;A
2018;2797;4323;4967;Divorcios;37.866;A
2018;2797;4323;4958;Divorcios;18.461;A
2018;2797;4323;4962;Divorcios;3.058;A
2018;2797;4323;4965;Divorcios;16.347;A
2018;2911;4325;4967;Divorcios;1108.2069;A
2018;2911;4325;4958;Divorcios;1051.7;A
2018;2911;4325;4962;Divorcios;9.6896;A
2018;2911;4325;4965;Divorcios;46.8173;A
2018;2911;4316;4967;Divorcios;1042.689;A
2018;2911;4316;4958;Divorcios;1015.7033;A
2018;2911;4316;4962;Divorcios;9.6896;A
2018;2911;4316;4965;Divorcios;17.2961;A
2018;2911;4320;4967;Divorcios;7.1541;A
2018;2911;4320;4958;Divorcios;4.8448;A
2018;2911;4320;4965;Divorcios;2.3093;A
2018;2911;4323;4967;Divorcios;58.3638;A
2018;2911;4323;4958;Divorcios;31.1519;A
2018;2911;4323;4965;Divorcios;27.2119;A
2018;3023;4325;4967;Divorcios;3718.358;A
2018;3023;4325;4958;Divorcios;3420.885;A
2018;3023;4325;4962;Divorcios;22.2785;A
2018;3023;4325;4965;Divorcios;275.1945;A
2018;3023;4316;4967;Divorcios;3393.8018;A
2018;3023;4316;4958;Divorcios;3229.9879;A
2018;3023;4316;4962;Divorcios;14.6352;A
2018;3023;4316;4965;Divorcios;149.1787;A
2018;3023;4320;4967;Divorcios;37.5651;A
2018;3023;4320;4958;Divorcios;25.1171;A
2018;3023;4320;4962;Divorcios;2.8386;A
2018;3023;4320;4965;Divorcios;9.6094;A
2018;3023;4323;4967;Divorcios;286.9911;A
2018;3023;4323;4958;Divorcios;165.78;A
2018;3023;4323;4962;Divorcios;4.8047;A
2018;3023;4323;4965;Divorcios;116.4064;A
2018;3142;4325;4967;Divorcios;4085.2617;A
2018;3142;4325;4958;Divorcios;3863.6795;A
2018;3142;4325;4962;Divorcios;14.5523;A
2018;3142;4325;4965;Divorcios;207.0299;A
2018;3142;4316;4967;Divorcios;3840.1739;A
2018;3142;4316;4958;Divorcios;3724.6981;A
2018;3142;4316;4962;Divorcios;5.8764;A
2018;3142;4316;4965;Divorcios;109.5994;A
2018;3142;4320;4967;Divorcios;15.2175;A
2018;3142;4320;4958;Divorcios;10.145;A
2018;3142;4320;4962;Divorcios;1.4691;A
2018;3142;4320;4965;Divorcios;3.6034;A
2018;3142;4323;4967;Divorcios;229.8703;A
2018;3142;4323;4958;Divorcios;128.8364;A
2018;3142;4323;4962;Divorcios;7.2068;A
2018;3142;4323;4965;Divorcios;93.8271;A
2017;3143;4325;4967;Divorcios;17436.6101;A
2017;3143;4325;4958;Divorcios;16344.362;A
2017;3143;4325;4962;Divorcios;100.0822;A
2017;3143;4325;4965;Divorcios;992.1659;A
2017;3143;4316;4967;Divorcios;16177.9606;A
2017;3143;4316;4958;Divorcios;15590.1419;A
2017;3143;4316;4962;Divorcios;58.575;A
2017;3143;4316;4965;Divorcios;529.2437;A
2017;3143;4320;4967;Divorcios;83.6609;A
2017;3143;4320;4958;Divorcios;61.1619;A
2017;3143;4320;4962;Divorcios;7.0041;A
2017;3143;4320;4965;Divorcios;15.4949;A
2017;3143;4323;4967;Divorcios;1174.9886;A
2017;3143;4323;4958;Divorcios;693.0582;A
2017;3143;4323;4962;Divorcios;34.5031;A
2017;3143;4323;4965;Divorcios;447.4273;A
2017;2352;4325;4967;Divorcios;1454.7143;A
2017;2352;4325;4958;Divorcios;1334.5725;A
2017;2352;4325;4962;Divorcios;18.3638;A
2017;2352;4325;4965;Divorcios;101.778;A
2017;2352;4316;4967;Divorcios;1310.2333;A
2017;2352;4316;4958;Divorcios;1251.6836;A
2017;2352;4316;4962;Divorcios;11.7537;A
2017;2352;4316;4965;Divorcios;46.796;A
2017;2352;4320;4967;Divorcios;5.0889;A
2017;2352;4320;4958;Divorcios;3.5677;A
2017;2352;4320;4965;Divorcios;1.5212;A
2017;2352;4323;4967;Divorcios;139.3921;A
2017;2352;4323;4958;Divorcios;79.3212;A
2017;2352;4323;4962;Divorcios;6.6101;A
2017;2352;4323;4965;Divorcios;53.4608;A
2017;2402;4325;4967;Divorcios;2406.3281;A
2017;2402;4325;4958;Divorcios;2264.0488;A
2017;2402;4325;4962;Divorcios;14.035;A
2017;2402;4325;4965;Divorcios;128.2443;A
2017;2402;4316;4967;Divorcios;2262.8576;A
2017;2402;4316;4958;Divorcios;2177.3614;A
2017;2402;4316;4962;Divorcios;9.5552;A
2017;2402;4316;4965;Divorcios;75.941;A
2017;2402;4320;4967;Divorcios;19.1104;A
2017;2402;4320;4958;Divorcios;15.1787;A
2017;2402;4320;4962;Divorcios;2.2399;A
2017;2402;4320;4965;Divorcios;1.6918;A
2017;2402;4323;4967;Divorcios;124.3601;A
2017;2402;4323;4958;Divorcios;71.5087;A
2017;2402;4323;4962;Divorcios;2.2399;A
2017;2402;4323;4965;Divorcios;50.6115;A
2017;2482;4325;4967;Divorcios;1426.032;A
2017;2482;4325;4958;Divorcios;1345.7235;A
2017;2482;4325;4962;Divorcios;9.6545;A
2017;2482;4325;4965;Divorcios;70.654;A
2017;2482;4316;4967;Divorcios;1339.5785;A
2017;2482;4316;4958;Divorcios;1290.2995;A
2017;2482;4316;4962;Divorcios;8.1315;A
2017;2482;4316;4965;Divorcios;41.1475;A
2017;2482;4320;4967;Divorcios;6.6085;A
2017;2482;4320;4958;Divorcios;5.0855;A
2017;2482;4320;4965;Divorcios;1.523;A
2017;2482;4323;4967;Divorcios;79.845;A
2017;2482;4323;4958;Divorcios;50.3385;A
2017;2482;4323;4962;Divorcios;1.523;A
2017;2482;4323;4965;Divorcios;27.9835;A
2017;2713;4325;4967;Divorcios;1990.6668;A
2017;2713;4325;4958;Divorcios;1865.7636;A
2017;2713;4325;4962;Divorcios;12.842;A
2017;2713;4325;4965;Divorcios;112.0612;A
2017;2713;4316;4967;Divorcios;1857.7028;A
2017;2713;4316;4958;Divorcios;1794.619;A
2017;2713;4316;4962;Divorcios;2.0152;A
2017;2713;4316;4965;Divorcios;61.0686;A
2017;2713;4320;4967;Divorcios;10.4514;A
2017;2713;4320;4958;Divorcios;6.421;A
2017;2713;4320;4962;Divorcios;2.0152;A
2017;2713;4320;4965;Divorcios;2.0152;A
2017;2713;4323;4967;Divorcios;122.5126;A
2017;2713;4323;4958;Divorcios;64.7236;A
2017;2713;4323;4962;Divorcios;8.8116;A
2017;2713;4323;4965;Divorcios;48.9774;A
2017;2797;4325;4967;Divorcios;1060.4795;A
2017;2797;4325;4958;Divorcios;995.586;A
2017;2797;4325;4962;Divorcios;6.5155;A
2017;2797;4325;4965;Divorcios;58.378;A
2017;2797;4316;4967;Divorcios;986.8282;A
2017;2797;4316;4958;Divorcios;958.2123;A
2017;2797;4316;4962;Divorcios;3.9616;A
2017;2797;4316;4965;Divorcios;24.6543;A
2017;2797;4320;4967;Divorcios;2.5539;A
2017;2797;4320;4958;Divorcios;2.5539;A
2017;2797;4323;4967;Divorcios;71.0974;A
2017;2797;4323;4958;Divorcios;34.8198;A
2017;2797;4323;4962;Divorcios;2.5539;A
2017;2797;4323;4965;Divorcios;33.7237;A
2017;2911;4325;4967;Divorcios;1127.8821;A
2017;2911;4325;4958;Divorcios;1088.0417;A
2017;2911;4325;4962;Divorcios;6.1416;A
2017;2911;4325;4965;Divorcios;33.6988;A
2017;2911;4316;4967;Divorcios;1075.5226;A
2017;2911;4316;4958;Divorcios;1048.4372;A
2017;2911;4316;4962;Divorcios;4.0944;A
2017;2911;4316;4965;Divorcios;22.991;A
2017;2911;4320;4967;Divorcios;2.0472;A
2017;2911;4320;4958;Divorcios;2.0472;A
2017;2911;4323;4967;Divorcios;50.3123;A
2017;2911;4323;4958;Divorcios;37.5573;A
2017;2911;4323;4962;Divorcios;2.0472;A
2017;2911;4323;4965;Divorcios;10.7078;A
2017;3023;4325;4967;Divorcios;3652.1307;A
2017;3023;4325;4958;Divorcios;3411.5637;A
2017;3023;4325;4962;Divorcios;16.4169;A
2017;3023;4325;4965;Divorcios;224.1501;A
2017;3023;4316;4967;Divorcios;3344.2803;A
2017;3023;4316;4958;Divorcios;3217.7925;A
2017;3023;4316;4962;Divorcios;10.3197;A
2017;3023;4316;4965;Divorcios;116.1681;A
2017;3023;4320;4967;Divorcios;11.5695;A
2017;3023;4320;4958;Divorcios;11.5695;A
2017;3023;4323;4967;Divorcios;296.2809;A
2017;3023;4323;4958;Divorcios;182.2017;A
2017;3023;4323;4962;Divorcios;6.0972;A
2017;3023;4323;4965;Divorcios;107.982;A
2017;3142;4325;4967;Divorcios;4318.3766;A
2017;3142;4325;4958;Divorcios;4039.0622;A
2017;3142;4325;4962;Divorcios;16.1129;A
2017;3142;4325;4965;Divorcios;263.2015;A
2017;3142;4316;4967;Divorcios;4000.9573;A
2017;3142;4316;4958;Divorcios;3851.7364;A
2017;3142;4316;4962;Divorcios;8.7437;A
2017;3142;4316;4965;Divorcios;140.4772;A
2017;3142;4320;4967;Divorcios;26.2311;A
2017;3142;4320;4958;Divorcios;14.7384;A
2017;3142;4320;4962;Divorcios;2.749;A
2017;3142;4320;4965;Divorcios;8.7437;A
2017;3142;4323;4967;Divorcios;291.1882;A
2017;3142;4323;4958;Divorcios;172.5874;A
2017;3142;4323;4962;Divorcios;4.6202;A
2017;3142;4323;4965;Divorcios;113.9806;A
2016;3143;4325;4967;Divorcios;16968.2676;A
2016;3143;4325;4958;Divorcios;15989.3038;A
2016;3143;4325;4962;Divorcios;59.3759;A
2016;3143;4325;4965;Divorcios;919.5879;A
2016;3143;4316;4967;Divorcios;15863.1649;A
2016;3143;4316;4958;Divorcios;15300.9074;A
2016;3143;4316;4962;Divorcios;36.5515;A
2016;3143;4316;4965;Divorcios;525.706;A
2016;3143;4320;4967;Divorcios;112.202;A
2016;3143;4320;4958;Divorcios;67.972;A
2016;3143;4320;4962;Divorcios;8.1646;A
2016;3143;4320;4965;Divorcios;36.0654;A
2016;3143;4323;4967;Divorcios;992.9007;A
2016;3143;4323;4958;Divorcios;620.4244;A
2016;3143;4323;4962;Divorcios;14.6598;A
2016;3143;4323;4965;Divorcios;357.8165;A
2016;2352;4325;4967;Divorcios;1425.5804;A
2016;2352;4325;4958;Divorcios;1310.1884;A
2016;2352;4325;4962;Divorcios;2.6598;A
2016;2352;4325;4965;Divorcios;112.7322;A
2016;2352;4316;4967;Divorcios;1321.8276;A
2016;2352;4316;4958;Divorcios;1245.6728;A
2016;2352;4316;4962;Divorcios;1.3299;A
2016;2352;4316;4965;Divorcios;74.8249;A
2016;2352;4320;4967;Divorcios;7.6495;A
2016;2352;4320;4958;Divorcios;3.6598;A
2016;2352;4320;4965;Divorcios;3.9897;A
2016;2352;4323;4967;Divorcios;96.1033;A
2016;2352;4323;4958;Divorcios;60.8558;A
