D_TEMPORAL_0;D_TERRITORIO_0;D_DURACMATRIM_0;INDICATOR;OBS_VALUE;FREQ
2020;3143;5215;Divorcios;13992.45022;A
2020;3143;5114;Divorcios;87.64552;A
2020;3143;5126;Divorcios;316.26234;A
2020;3143;5137;Divorcios;462.75017;A
2020;3143;5148;Divorcios;569.72828;A
2020;3143;5159;Divorcios;603.04781;A
2020;3143;5170;Divorcios;602.31422;A
2020;3143;5181;Divorcios;539.19392;A
2020;3143;5192;Divorcios;511.19353;A
2020;3143;5203;Divorcios;412.05948;A
2020;3143;5214;Divorcios;417.19437;A
2020;3143;5116;Divorcios;429.17683;A
2020;3143;5117;Divorcios;418.71524;A
2020;3143;5118;Divorcios;534.12974;A
2020;3143;5119;Divorcios;550.0961;A
2020;3143;5120;Divorcios;496.8288;A
2020;3143;5121;Divorcios;451.25514;A
2020;3143;5122;Divorcios;375.92234;A
2020;3143;5123;Divorcios;455.99497;A
2020;3143;5124;Divorcios;454.18921;A
2020;3143;5125;Divorcios;367.69542;A
2020;3143;5127;Divorcios;402.79001;A
2020;3143;5128;Divorcios;402.08369;A
2020;3143;5129;Divorcios;367.8291;A
2020;3143;5130;Divorcios;285.89441;A
2020;3143;5131;Divorcios;260.45945;A
2020;3143;5132;Divorcios;248.89909;A
2020;3143;5133;Divorcios;224.10011;A
2020;3143;5134;Divorcios;229.95501;A
2020;3143;5135;Divorcios;322.15678;A
2020;3143;5136;Divorcios;278.20965;A
2020;3143;5138;Divorcios;195.71512;A
2020;3143;5139;Divorcios;215.49089;A
2020;3143;5140;Divorcios;175.94017;A
2020;3143;5141;Divorcios;156.06201;A
2020;3143;5142;Divorcios;99.99217;A
2020;3143;5143;Divorcios;96.38275;A
2020;3143;5144;Divorcios;133.05631;A
2020;3143;5145;Divorcios;86.95084;A
2020;3143;5146;Divorcios;123.48742;A
2020;3143;5147;Divorcios;65.78243;A
2020;3143;5149;Divorcios;88.15513;A
2020;3143;5150;Divorcios;92.76715;A
2020;3143;5151;Divorcios;84.60564;A
2020;3143;5152;Divorcios;58.88;A
2020;3143;5153;Divorcios;53.84997;A
2020;3143;5154;Divorcios;45.14581;A
2020;3143;5155;Divorcios;16.89095;A
2020;3143;5156;Divorcios;41.09974;A
2020;3143;5157;Divorcios;18.9115;A
2020;3143;5158;Divorcios;16.47433;A
2020;3143;5160;Divorcios;5.56848;A
2020;3143;5161;Divorcios;7.74884;A
2020;3143;5162;Divorcios;5.40621;A
2020;3143;5163;Divorcios;3.76555;A
2020;3143;5164;Divorcios;2.97697;A
2020;3143;5165;Divorcios;9.13691;A
2020;3143;5166;Divorcios;3.13867;A
2020;3143;5167;Divorcios;6.19373;A
2020;3143;5173;Divorcios;3.05506;A
2020;3143;5175;Divorcios;2.04874;A
2020;2352;5215;Divorcios;1287.5417;A
2020;2352;5114;Divorcios;8.24498;A
2020;2352;5126;Divorcios;19.83948;A
2020;2352;5137;Divorcios;45.20016;A
2020;2352;5148;Divorcios;91.57816;A
2020;2352;5159;Divorcios;60.7331;A
2020;2352;5170;Divorcios;55.54318;A
2020;2352;5181;Divorcios;45.16334;A
2020;2352;5192;Divorcios;55.83764;A
2020;2352;5203;Divorcios;31.43398;A
2020;2352;5214;Divorcios;35.99816;A
2020;2352;5116;Divorcios;41.18808;A
2020;2352;5117;Divorcios;37.21282;A
2020;2352;5118;Divorcios;42.6972;A
2020;2352;5119;Divorcios;45.4578;A
2020;2352;5120;Divorcios;51.23664;A
2020;2352;5121;Divorcios;46.67246;A
2020;2352;5122;Divorcios;44.5376;A
2020;2352;5123;Divorcios;48.2184;A
2020;2352;5124;Divorcios;50.94218;A
2020;2352;5125;Divorcios;29.59358;A
2020;2352;5127;Divorcios;50.64772;A
2020;2352;5128;Divorcios;17.99908;A
2020;2352;5129;Divorcios;21.05414;A
2020;2352;5130;Divorcios;25.0294;A
2020;2352;5131;Divorcios;14.64956;A
2020;2352;5132;Divorcios;16.78442;A
2020;2352;5133;Divorcios;15.86422;A
2020;2352;5134;Divorcios;16.78442;A
2020;2352;5135;Divorcios;29.6304;A
2020;2352;5136;Divorcios;21.67988;A
2020;2352;5138;Divorcios;8.24498;A
2020;2352;5139;Divorcios;25.65514;A
2020;2352;5140;Divorcios;7.32478;A
2020;2352;5141;Divorcios;12.5147;A
2020;2352;5142;Divorcios;15.56976;A
2020;2352;5143;Divorcios;5.18992;A
2020;2352;5144;Divorcios;14.3551;A
2020;2352;5145;Divorcios;5.18992;A
2020;2352;5146;Divorcios;9.45964;A
2020;2352;5147;Divorcios;8.24498;A
2020;2352;5149;Divorcios;6.11012;A
2020;2352;5150;Divorcios;17.41016;A
2020;2352;5151;Divorcios;3.05506;A
2020;2352;5153;Divorcios;5.18992;A
2020;2352;5156;Divorcios;9.16518;A
2020;2352;5157;Divorcios;3.05506;A
2020;2352;5160;Divorcios;2.13486;A
2020;2352;5161;Divorcios;3.05506;A
2020;2352;5162;Divorcios;3.05506;A
2020;2352;5167;Divorcios;3.05506;A
2020;2352;5173;Divorcios;3.05506;A
2020;2402;5215;Divorcios;1956.38358;A
2020;2402;5114;Divorcios;10.48822;A
2020;2402;5126;Divorcios;47.15801;A
2020;2402;5137;Divorcios;62.92932;A
2020;2402;5148;Divorcios;77.70638;A
2020;2402;5159;Divorcios;89.22783;A
2020;2402;5170;Divorcios;87.16137;A
2020;2402;5181;Divorcios;85.17287;A
2020;2402;5192;Divorcios;54.70246;A
2020;2402;5203;Divorcios;74.64567;A
2020;2402;5214;Divorcios;54.70246;A
2020;2402;5116;Divorcios;55.77467;A
2020;2402;5117;Divorcios;58.91334;A
2020;2402;5118;Divorcios;68.36833;A
2020;2402;5119;Divorcios;68.32935;A
2020;2402;5120;Divorcios;66.30187;A
2020;2402;5121;Divorcios;71.507;A
2020;2402;5122;Divorcios;41.03659;A
2020;2402;5123;Divorcios;82.07318;A
2020;2402;5124;Divorcios;74.68465;A
2020;2402;5125;Divorcios;46.2807;A
2020;2402;5127;Divorcios;62.05201;A
2020;2402;5128;Divorcios;52.59702;A
2020;2402;5129;Divorcios;53.66923;A
2020;2402;5130;Divorcios;27.29276;A
2020;2402;5131;Divorcios;27.29276;A
2020;2402;5132;Divorcios;24.15409;A
2020;2402;5133;Divorcios;46.16376;A
2020;2402;5134;Divorcios;35.67554;A
2020;2402;5135;Divorcios;41.95288;A
2020;2402;5136;Divorcios;49.34141;A
2020;2402;5138;Divorcios;23.08188;A
2020;2402;5139;Divorcios;39.84744;A
2020;2402;5140;Divorcios;16.76556;A
2020;2402;5141;Divorcios;26.18157;A
2020;2402;5142;Divorcios;10.48822;A
2020;2402;5143;Divorcios;15.73233;A
2020;2402;5144;Divorcios;17.83777;A
2020;2402;5145;Divorcios;5.24411;A
2020;2402;5146;Divorcios;7.34955;A
2020;2402;5147;Divorcios;7.34955;A
2020;2402;5149;Divorcios;13.62689;A
2020;2402;5150;Divorcios;4.21088;A
2020;2402;5151;Divorcios;17.83777;A
2020;2402;5152;Divorcios;5.24411;A
2020;2402;5153;Divorcios;6.27734;A
2020;2402;5154;Divorcios;11.52145;A
2020;2402;5155;Divorcios;4.21088;A
2020;2402;5156;Divorcios;13.62689;A
2020;2402;5158;Divorcios;4.21088;A
2020;2402;5165;Divorcios;2.10544;A
2020;2402;5166;Divorcios;3.13867;A
2020;2402;5167;Divorcios;3.13867;A
2020;2482;5215;Divorcios;1295.68526;A
2020;2482;5114;Divorcios;5.02571;A
2020;2482;5126;Divorcios;20.29512;A
2020;2482;5137;Divorcios;42.06214;A
2020;2482;5148;Divorcios;31.27477;A
2020;2482;5159;Divorcios;42.4467;A
2020;2482;5170;Divorcios;46.54418;A
2020;2482;5181;Divorcios;45.61595;A
2020;2482;5192;Divorcios;40.59024;A
2020;2482;5203;Divorcios;32.58756;A
2020;2482;5214;Divorcios;49.90571;A
2020;2482;5116;Divorcios;38.73378;A
2020;2482;5117;Divorcios;43.75949;A
2020;2482;5118;Divorcios;56.98016;A
2020;2482;5119;Divorcios;50.09799;A
2020;2482;5120;Divorcios;50.09799;A
2020;2482;5121;Divorcios;36.87732;A
2020;2482;5122;Divorcios;47.85697;A
2020;2482;5123;Divorcios;39.85429;A
2020;2482;5124;Divorcios;43.95177;A
2020;2482;5125;Divorcios;34.6363;A
2020;2482;5127;Divorcios;28.2978;A
2020;2482;5128;Divorcios;47.85697;A
2020;2482;5129;Divorcios;51.02622;A
2020;2482;5130;Divorcios;26.24906;A
2020;2482;5131;Divorcios;32.39528;A
2020;2482;5132;Divorcios;27.91324;A
2020;2482;5133;Divorcios;25.32083;A
2020;2482;5134;Divorcios;19.17461;A
2020;2482;5135;Divorcios;30.15426;A
2020;2482;5136;Divorcios;23.07981;A
2020;2482;5138;Divorcios;19.36689;A
2020;2482;5139;Divorcios;18.24638;A
2020;2482;5140;Divorcios;26.98501;A
2020;2482;5141;Divorcios;19.17461;A
2020;2482;5142;Divorcios;10.97965;A
2020;2482;5143;Divorcios;;A
2020;2482;5144;Divorcios;16.00536;A
2020;2482;5145;Divorcios;2.97697;A
2020;2482;5146;Divorcios;12.10016;A
2020;2482;5149;Divorcios;8.93091;A
2020;2482;5150;Divorcios;10.05142;A
2020;2482;5151;Divorcios;5.02571;A
2020;2482;5152;Divorcios;9.12319;A
2020;2482;5153;Divorcios;7.07445;A
2020;2482;5154;Divorcios;5.95394;A
2020;2482;5155;Divorcios;2.97697;A
2020;2482;5158;Divorcios;;A
2020;2482;5160;Divorcios;;A
2020;2482;5161;Divorcios;2.97697;A
2020;2482;5163;Divorcios;2.04874;A
2020;2482;5164;Divorcios;2.97697;A
2020;2482;5175;Divorcios;2.04874;A
2020;2713;5215;Divorcios;1333.9225;A
2020;2713;5114;Divorcios;6.08043;A
2020;2713;5126;Divorcios;25.20937;A
2020;2713;5137;Divorcios;36.48258;A
2020;2713;5148;Divorcios;50.35218;A
2020;2713;5159;Divorcios;61.62539;A
2020;2713;5170;Divorcios;61.62539;A
2020;2713;5181;Divorcios;51.99436;A
2020;2713;5192;Divorcios;21.65877;A
2020;2713;5203;Divorcios;50.28562;A
2020;2713;5214;Divorcios;30.33559;A
2020;2713;5116;Divorcios;45.09284;A
2020;2713;5117;Divorcios;30.33559;A
2020;2713;5118;Divorcios;37.23711;A
2020;2713;5119;Divorcios;32.04433;A
2020;2713;5120;Divorcios;57.12058;A
2020;2713;5121;Divorcios;38.12476;A
2020;2713;5122;Divorcios;39.8335;A
2020;2713;5123;Divorcios;54.52419;A
2020;2713;5124;Divorcios;37.23711;A
2020;2713;5125;Divorcios;51.9278;A
2020;2713;5127;Divorcios;32.04433;A
2020;2713;5128;Divorcios;49.39797;A
2020;2713;5129;Divorcios;48.51032;A
2020;2713;5130;Divorcios;37.30367;A
2020;2713;5131;Divorcios;27.7392;A
2020;2713;5132;Divorcios;27.80576;A
2020;2713;5133;Divorcios;12.16086;A
2020;2713;5134;Divorcios;33.88619;A
2020;2713;5135;Divorcios;30.40215;A
2020;2713;5136;Divorcios;34.77384;A
2020;2713;5138;Divorcios;18.24129;A
2020;2713;5139;Divorcios;6.08043;A
2020;2713;5140;Divorcios;26.09702;A
2020;2713;5141;Divorcios;23.50063;A
2020;2713;5142;Divorcios;3.48404;A
2020;2713;5143;Divorcios;2.59639;A
2020;2713;5144;Divorcios;16.53255;A
2020;2713;5145;Divorcios;13.8696;A
2020;2713;5146;Divorcios;6.08043;A
2020;2713;5147;Divorcios;11.27321;A
2020;2713;5149;Divorcios;6.96808;A
2020;2713;5150;Divorcios;13.04851;A
2020;2713;5151;Divorcios;12.16086;A
2020;2713;5152;Divorcios;5.19278;A
2020;2713;5153;Divorcios;6.08043;A
2020;2713;5154;Divorcios;6.96808;A
2020;2713;5156;Divorcios;2.59639;A
2020;2713;5163;Divorcios;;A
2020;2797;5215;Divorcios;832.55851;A
2020;2797;5126;Divorcios;29.68635;A
2020;2797;5137;Divorcios;9.89545;A
2020;2797;5148;Divorcios;34.06235;A
2020;2797;5159;Divorcios;43.9578;A
2020;2797;5170;Divorcios;41.3322;A
2020;2797;5181;Divorcios;32.31195;A
2020;2797;5192;Divorcios;38.42426;A
2020;2797;5203;Divorcios;29.40401;A
2020;2797;5214;Divorcios;19.21213;A
2020;2797;5116;Divorcios;33.18715;A
2020;2797;5117;Divorcios;27.07484;A
2020;2797;5118;Divorcios;29.40401;A
2020;2797;5119;Divorcios;34.93755;A
2020;2797;5120;Divorcios;20.96253;A
2020;2797;5121;Divorcios;29.40401;A
2020;2797;5122;Divorcios;26.19964;A
2020;2797;5123;Divorcios;30.27921;A
2020;2797;5124;Divorcios;28.52881;A
2020;2797;5125;Divorcios;13.97502;A
2020;2797;5127;Divorcios;31.73318;A
2020;2797;5128;Divorcios;17.75816;A
2020;2797;5129;Divorcios;25.32444;A
2020;2797;5130;Divorcios;13.09982;A
2020;2797;5131;Divorcios;6.11231;A
2020;2797;5132;Divorcios;12.22462;A
2020;2797;5133;Divorcios;8.44148;A
2020;2797;5134;Divorcios;6.11231;A
2020;2797;5135;Divorcios;19.21213;A
2020;2797;5136;Divorcios;12.22462;A
2020;2797;5138;Divorcios;15.42899;A
2020;2797;5139;Divorcios;16.88296;A
2020;2797;5140;Divorcios;8.44148;A
2020;2797;5141;Divorcios;2.32917;A
2020;2797;5142;Divorcios;17.46173;A
2020;2797;5143;Divorcios;4.65834;A
2020;2797;5144;Divorcios;4.65834;A
2020;2797;5145;Divorcios;4.65834;A
2020;2797;5146;Divorcios;16.00776;A
2020;2797;5147;Divorcios;2.32917;A
2020;2797;5149;Divorcios;13.09982;A
2020;2797;5150;Divorcios;7.56628;A
2020;2797;5151;Divorcios;2.32917;A
2020;2797;5152;Divorcios;3.78314;A
2020;2797;5153;Divorcios;6.11231;A
2020;2797;5161;Divorcios;;A
2020;2797;5165;Divorcios;2.32917;A
2020;2911;5215;Divorcios;886.77634;A
2020;2911;5114;Divorcios;12.32101;A
2020;2911;5126;Divorcios;30.08766;A
2020;2911;5137;Divorcios;35.30201;A
2020;2911;5148;Divorcios;33.64099;A
2020;2911;5159;Divorcios;21.08869;A
2020;2911;5170;Divorcios;25.27279;A
2020;2911;5181;Divorcios;44.06969;A
2020;2911;5192;Divorcios;20.45792;A
2020;2911;5203;Divorcios;37.5938;A
2020;2911;5214;Divorcios;15.24357;A
2020;2911;5116;Divorcios;27.56458;A
2020;2911;5117;Divorcios;15.24357;A
2020;2911;5118;Divorcios;24.01125;A
2020;2911;5119;Divorcios;29.2256;A
2020;2911;5120;Divorcios;26.30304;A
2020;2911;5121;Divorcios;24.64202;A
2020;2911;5122;Divorcios;20.45792;A
2020;2911;5123;Divorcios;40.91584;A
2020;2911;5124;Divorcios;32.77893;A
2020;2911;5125;Divorcios;21.08869;A
2020;2911;5127;Divorcios;26.30304;A
2020;2911;5128;Divorcios;26.93381;A
2020;2911;5129;Divorcios;11.69024;A
2020;2911;5130;Divorcios;21.08869;A
2020;2911;5131;Divorcios;15.87434;A
2020;2911;5132;Divorcios;12.95178;A
2020;2911;5133;Divorcios;30.71843;A
2020;2911;5134;Divorcios;23.61177;A
2020;2911;5135;Divorcios;37.82509;A
2020;2911;5136;Divorcios;21.71946;A
2020;2911;5138;Divorcios;19.42767;A
2020;2911;5139;Divorcios;16.50511;A
2020;2911;5140;Divorcios;3.55333;A
2020;2911;5141;Divorcios;3.55333;A
2020;2911;5142;Divorcios;10.65999;A
2020;2911;5143;Divorcios;10.02922;A
2020;2911;5144;Divorcios;12.32101;A
2020;2911;5145;Divorcios;10.02922;A
2020;2911;5146;Divorcios;16.50511;A
2020;2911;5149;Divorcios;2.92256;A
2020;2911;5150;Divorcios;2.92256;A
2020;2911;5153;Divorcios;2.92256;A
2020;2911;5155;Divorcios;3.55333;A
2020;2911;5157;Divorcios;2.92256;A
2020;2911;5158;Divorcios;2.92256;A
2020;3023;5215;Divorcios;3009.31704;A
2020;3023;5114;Divorcios;23.32037;A
2020;3023;5126;Divorcios;56.17276;A
2020;3023;5137;Divorcios;142.78305;A
2020;3023;5148;Divorcios;121.68641;A
2020;3023;5159;Divorcios;151.10764;A
2020;3023;5170;Divorcios;172.14057;A
2020;3023;5181;Divorcios;117.30266;A
2020;3023;5192;Divorcios;114.8878;A
2020;3023;5203;Divorcios;62.27362;A
2020;3023;5214;Divorcios;96.0786;A
2020;3023;5116;Divorcios;92.64744;A
2020;3023;5117;Divorcios;106.75434;A
2020;3023;5118;Divorcios;118.51009;A
2020;3023;5119;Divorcios;143.22902;A
2020;3023;5120;Divorcios;93.91858;A
2020;3023;5121;Divorcios;85.72141;A
2020;3023;5122;Divorcios;59.85876;A
2020;3023;5123;Divorcios;79.87539;A
2020;3023;5124;Divorcios;90.36;A
2020;3023;5125;Divorcios;68.05593;A
2020;3023;5127;Divorcios;79.87539;A
2020;3023;5128;Divorcios;82.09912;A
2020;3023;5129;Divorcios;61.00248;A
2020;3023;5130;Divorcios;53.88532;A
2020;3023;5131;Divorcios;63.1625;A
2020;3023;5132;Divorcios;52.55047;A
2020;3023;5133;Divorcios;31.51754;A
2020;3023;5134;Divorcios;37.36356;A
2020;3023;5135;Divorcios;78.34941;A
2020;3023;5136;Divorcios;56.04534;A
2020;3023;5138;Divorcios;35.01241;A
2020;3023;5139;Divorcios;40.79472;A
2020;3023;5140;Divorcios;35.01241;A
2020;3023;5141;Divorcios;43.20958;A
2020;3023;5142;Divorcios;12.89947;A
2020;3023;5143;Divorcios;35.01241;A
2020;3023;5144;Divorcios;21.03293;A
2020;3023;5145;Divorcios;26.81524;A
2020;3023;5146;Divorcios;25.67152;A
2020;3023;5147;Divorcios;6.98974;A
2020;3023;5149;Divorcios;16.33063;A
2020;3023;5150;Divorcios;19.8255;A
2020;3023;5151;Divorcios;21.03293;A
2020;3023;5152;Divorcios;25.67152;A
2020;3023;5153;Divorcios;14.04319;A
2020;3023;5154;Divorcios;12.83576;A
2020;3023;5155;Divorcios;;A
2020;3023;5156;Divorcios;5.84602;A
2020;3023;5157;Divorcios;2.35115;A
2020;3023;5158;Divorcios;9.34089;A
2020;3023;5161;Divorcios;;A
2020;3023;5162;Divorcios;2.35115;A
2020;3023;5165;Divorcios;4.7023;A
2020;3142;5215;Divorcios;3390.26529;A
2020;3142;5114;Divorcios;22.1648;A
2020;3142;5126;Divorcios;87.81359;A
2020;3142;5137;Divorcios;88.09546;A
2020;3142;5148;Divorcios;129.42704;A
2020;3142;5159;Divorcios;132.86066;A
2020;3142;5170;Divorcios;112.69454;A
2020;3142;5181;Divorcios;117.5631;A
2020;3142;5192;Divorcios;164.63444;A
2020;3142;5203;Divorcios;93.83522;A
2020;3142;5214;Divorcios;115.71815;A
2020;3142;5116;Divorcios;94.98829;A
2020;3142;5117;Divorcios;99.42125;A
2020;3142;5118;Divorcios;156.92159;A
2020;3142;5119;Divorcios;146.77446;A
2020;3142;5120;Divorcios;130.88757;A
2020;3142;5121;Divorcios;118.30616;A
2020;3142;5122;Divorcios;96.14136;A
2020;3142;5123;Divorcios;80.25447;A
2020;3142;5124;Divorcios;95.70576;A
2020;3142;5125;Divorcios;102.1374;A
2020;3142;5127;Divorcios;91.83654;A
2020;3142;5128;Divorcios;107.44156;A
2020;3142;5129;Divorcios;95.55203;A
2020;3142;5130;Divorcios;81.94569;A
2020;3142;5131;Divorcios;73.2335;A
2020;3142;5132;Divorcios;74.51471;A
2020;3142;5133;Divorcios;53.91299;A
2020;3142;5134;Divorcios;57.34661;A
2020;3142;5135;Divorcios;54.63046;A
2020;3142;5136;Divorcios;59.34529;A
2020;3142;5138;Divorcios;56.91101;A
2020;3142;5139;Divorcios;51.47871;A
2020;3142;5140;Divorcios;51.76058;A
2020;3142;5141;Divorcios;25.59842;A
2020;3142;5142;Divorcios;18.44931;A
2020;3142;5143;Divorcios;23.16414;A
2020;3142;5144;Divorcios;30.31325;A
2020;3142;5145;Divorcios;18.16744;A
2020;3142;5146;Divorcios;30.31325;A
2020;3142;5147;Divorcios;29.59578;A
2020;3142;5149;Divorcios;20.16612;A
2020;3142;5150;Divorcios;17.73184;A
2020;3142;5151;Divorcios;23.16414;A
2020;3142;5152;Divorcios;9.86526;A
2020;3142;5153;Divorcios;6.14977;A
2020;3142;5154;Divorcios;7.86658;A
2020;3142;5155;Divorcios;6.14977;A
2020;3142;5156;Divorcios;9.86526;A
2020;3142;5157;Divorcios;10.58273;A
2020;3142;5160;Divorcios;3.43362;A
2020;3142;5161;Divorcios;1.71681;A
2020;3142;5163;Divorcios;1.71681;A
2020;3142;5164;Divorcios;;A
2020;3142;5166;Divorcios;;A
2019;3143;5215;Divorcios;17078.2748;A
2019;3143;5114;Divorcios;126.7366;A
2019;3143;5126;Divorcios;393.41899;A
2019;3143;5137;Divorcios;622.31534;A
2019;3143;5148;Divorcios;626.77348;A
2019;3143;5159;Divorcios;657.48185;A
2019;3143;5170;Divorcios;644.71006;A
2019;3143;5181;Divorcios;618.34463;A
2019;3143;5192;Divorcios;597.63424;A
2019;3143;5203;Divorcios;568.44209;A
2019;3143;5214;Divorcios;572.42524;A
2019;3143;5116;Divorcios;706.60335;A
2019;3143;5117;Divorcios;684.29556;A
2019;3143;5118;Divorcios;637.42733;A
2019;3143;5119;Divorcios;695.26974;A
2019;3143;5120;Divorcios;516.27551;A
2019;3143;5121;Divorcios;562.33449;A
2019;3143;5122;Divorcios;553.66592;A
2019;3143;5123;Divorcios;601.00969;A
2019;3143;5124;Divorcios;481.42136;A
2019;3143;5125;Divorcios;441.81305;A
2019;3143;5127;Divorcios;402.97659;A
2019;3143;5128;Divorcios;413.81995;A
2019;3143;5129;Divorcios;323.85801;A
2019;3143;5130;Divorcios;380.34659;A
2019;3143;5131;Divorcios;316.22764;A
2019;3143;5132;Divorcios;308.22063;A
2019;3143;5133;Divorcios;301.6424;A
2019;3143;5134;Divorcios;341.96013;A
2019;3143;5135;Divorcios;301.01807;A
2019;3143;5136;Divorcios;297.97442;A
2019;3143;5138;Divorcios;266.04759;A
2019;3143;5139;Divorcios;241.78968;A
2019;3143;5140;Divorcios;207.64769;A
2019;3143;5141;Divorcios;137.60555;A
2019;3143;5142;Divorcios;156.56834;A
2019;3143;5143;Divorcios;153.31437;A
2019;3143;5144;Divorcios;141.29652;A
2019;3143;5145;Divorcios;132.59088;A
2019;3143;5146;Divorcios;121.48298;A
2019;3143;5147;Divorcios;115.51449;A
2019;3143;5149;Divorcios;98.66662;A
2019;3143;5150;Divorcios;101.94362;A
2019;3143;5151;Divorcios;85.05727;A
2019;3143;5152;Divorcios;101.67107;A
2019;3143;5153;Divorcios;78.09538;A
2019;3143;5154;Divorcios;49.00739;A
2019;3143;5155;Divorcios;52.00177;A
2019;3143;5156;Divorcios;32.4453;A
2019;3143;5157;Divorcios;28.26904;A
2019;3143;5158;Divorcios;13.50111;A
2019;3143;5160;Divorcios;5.48302;A
2019;3143;5161;Divorcios;19.93622;A
2019;3143;5162;Divorcios;9.60517;A
2019;3143;5163;Divorcios;9.27437;A
2019;3143;5164;Divorcios;5.36835;A
2019;3143;5165;Divorcios;1.72588;A
2019;3143;5166;Divorcios;7.79002;A
2019;3143;5167;Divorcios;5.78662;A
2019;3143;5176;Divorcios;2.34554;A
2019;2352;5215;Divorcios;1684.43364;A
2019;2352;5114;Divorcios;11.90667;A
2019;2352;5126;Divorcios;34.24074;A
2019;2352;5137;Divorcios;57.46914;A
2019;2352;5148;Divorcios;50.82693;A
2019;2352;5159;Divorcios;61.83927;A
2019;2352;5170;Divorcios;81.55803;A
2019;2352;5181;Divorcios;65.31507;A
2019;2352;5192;Divorcios;79.52766;A
2019;2352;5203;Divorcios;60.36;A
2019;2352;5214;Divorcios;41.77728;A
2019;2352;5116;Divorcios;80.6637;A
2019;2352;5117;Divorcios;88.78518;A
2019;2352;5118;Divorcios;50.4837;A
2019;2352;5119;Divorcios;54.81999;A
2019;2352;5120;Divorcios;49.89876;A
2019;2352;5121;Divorcios;81.52419;A
2019;2352;5122;Divorcios;50.4837;A
2019;2352;5123;Divorcios;60.63555;A
2019;2352;5124;Divorcios;44.39259;A
2019;2352;5125;Divorcios;39.16197;A
2019;2352;5127;Divorcios;24.94938;A
2019;2352;5128;Divorcios;47.86839;A
2019;2352;5129;Divorcios;40.91679;A
2019;2352;5130;Divorcios;24.67383;A
2019;2352;5131;Divorcios;40.33185;A
2019;2352;5132;Divorcios;34.55013;A
2019;2352;5133;Divorcios;22.05852;A
2019;2352;5134;Divorcios;22.64346;A
2019;2352;5135;Divorcios;28.73457;A
2019;2352;5136;Divorcios;25.84371;A
2019;2352;5138;Divorcios;26.42865;A
2019;2352;5139;Divorcios;19.16766;A
2019;2352;5140;Divorcios;23.81334;A
2019;2352;5141;Divorcios;17.13729;A
2019;2352;5142;Divorcios;8.70642;A
2019;2352;5143;Divorcios;6.67605;A
2019;2352;5144;Divorcios;18.58272;A
2019;2352;5145;Divorcios;13.3521;A
2019;2352;5146;Divorcios;13.3521;A
2019;2352;5147;Divorcios;17.13729;A
2019;2352;5149;Divorcios;12.49161;A
2019;2352;5150;Divorcios;4.64568;A
2019;2352;5151;Divorcios;4.64568;A
2019;2352;5152;Divorcios;11.90667;A
2019;2352;5153;Divorcios;9.29136;A
2019;2352;5154;Divorcios;6.09111;A
2019;2352;5156;Divorcios;6.67605;A
2019;2352;5166;Divorcios;2.03037;A
2019;2352;5167;Divorcios;4.06074;A
2019;2402;5215;Divorcios;2350.11045;A
2019;2402;5114;Divorcios;12.66128;A
2019;2402;5126;Divorcios;66.36683;A
2019;2402;5137;Divorcios;94.74982;A
2019;2402;5148;Divorcios;109.17168;A
2019;2402;5159;Divorcios;91.22866;A
2019;2402;5170;Divorcios;80.70635;A
2019;2402;5181;Divorcios;105.14862;A
2019;2402;5192;Divorcios;86.40765;A
2019;2402;5203;Divorcios;94.24792;A
2019;2402;5214;Divorcios;78.98694;A
2019;2402;5116;Divorcios;118.69019;A
2019;2402;5117;Divorcios;82.88649;A
2019;2402;5118;Divorcios;95.08704;A
2019;2402;5119;Divorcios;105.56818;A
2019;2402;5120;Divorcios;69.34492;A
2019;2402;5121;Divorcios;80.24562;A
2019;2402;5122;Divorcios;72.82491;A
2019;2402;5123;Divorcios;80.24562;A
2019;2402;5124;Divorcios;61.08509;A
2019;2402;5125;Divorcios;51.48424;A
2019;2402;5127;Divorcios;39.70325;A
2019;2402;5128;Divorcios;47.54352;A
2019;2402;5129;Divorcios;35.34297;A
2019;2402;5130;Divorcios;58.48539;A
2019;2402;5131;Divorcios;39.28369;A
2019;2402;5132;Divorcios;39.28369;A
2019;2402;5133;Divorcios;21.38184;A
2019;2402;5134;Divorcios;29.68284;A
2019;2402;5135;Divorcios;52.86643;A
2019;2402;5136;Divorcios;31.44342;A
2019;2402;5138;Divorcios;41.92456;A
2019;2402;5139;Divorcios;21.84257;A
2019;2402;5140;Divorcios;19.66243;A
2019;2402;5141;Divorcios;28.38299;A
2019;2402;5142;Divorcios;25.32256;A
2019;2402;5143;Divorcios;24.02271;A
2019;2402;5144;Divorcios;21.84257;A
2019;2402;5145;Divorcios;9.60085;A
2019;2402;5146;Divorcios;11.36143;A
2019;2402;5147;Divorcios;16.602;A
2019;2402;5149;Divorcios;16.602;A
2019;2402;5150;Divorcios;7.42071;A
2019;2402;5151;Divorcios;8.301;A
2019;2402;5152;Divorcios;19.66243;A
2019;2402;5153;Divorcios;14.84142;A
2019;2402;5154;Divorcios;7.42071;A
2019;2402;5155;Divorcios;6.12086;A
2019;2402;5156;Divorcios;2.18014;A
2019;2402;5157;Divorcios;5.24057;A
2019;2402;5158;Divorcios;3.06043;A
2019;2402;5161;Divorcios;;A
2019;2402;5163;Divorcios;4.36028;A
2019;2402;5164;Divorcios;2.18014;A
2019;2482;5215;Divorcios;1369.08113;A
