TEMPORAL;PROCEDENCIA_ECTA;INDICATOR;OBS_VALUE;FREQ
1997;6775;ESTANCIA_MEDIA;8.538248517;A
1997;6776;ESTANCIA_MEDIA;10.69703515;A
1997;6778;ESTANCIA_MEDIA;14.724559658;A
1997;6779;ESTANCIA_MEDIA;13.870528695;A
1997;6782;ESTANCIA_MEDIA;11.933393614;A
1998;6775;ESTANCIA_MEDIA;7.810424733;A
1998;6776;ESTANCIA_MEDIA;9.299597274;A
1998;6778;ESTANCIA_MEDIA;15.678301798;A
1998;6779;ESTANCIA_MEDIA;15.026147532;A
1998;6782;ESTANCIA_MEDIA;12.077384571;A
1999;6775;ESTANCIA_MEDIA;7.136386632;A
1999;6776;ESTANCIA_MEDIA;7.793132011;A
1999;6778;ESTANCIA_MEDIA;14.698650893;A
1999;6779;ESTANCIA_MEDIA;11.286901746;A
1999;6782;ESTANCIA_MEDIA;10.504657378;A
2000;6775;ESTANCIA_MEDIA;6.631599086;A
2000;6776;ESTANCIA_MEDIA;7.705343372;A
2000;6778;ESTANCIA_MEDIA;15.172034477;A
2000;6779;ESTANCIA_MEDIA;13.13849066;A
2000;6782;ESTANCIA_MEDIA;10.901667026;A
2001;6775;ESTANCIA_MEDIA;7.739396541;A
2001;6776;ESTANCIA_MEDIA;5.102731242;A
2001;6778;ESTANCIA_MEDIA;14.771746088;A
2001;6779;ESTANCIA_MEDIA;13.169467373;A
2001;6782;ESTANCIA_MEDIA;11.456943973;A
2002;6775;ESTANCIA_MEDIA;8.01887564;A
2002;6776;ESTANCIA_MEDIA;9.052050715;A
2002;6778;ESTANCIA_MEDIA;15.24525689;A
2002;6779;ESTANCIA_MEDIA;14.441848553;A
2002;6782;ESTANCIA_MEDIA;11.597492749;A
2003;6775;ESTANCIA_MEDIA;7.511281879;A
2003;6776;ESTANCIA_MEDIA;8.972735921;A
2003;6778;ESTANCIA_MEDIA;12.738920134;A
2003;6779;ESTANCIA_MEDIA;13.210198301;A
2003;6782;ESTANCIA_MEDIA;10.532484337;A
2004;6775;ESTANCIA_MEDIA;6.560236705;A
2004;6776;ESTANCIA_MEDIA;7.370190293;A
2004;6778;ESTANCIA_MEDIA;14.39667687;A
2004;6779;ESTANCIA_MEDIA;12.583750409;A
2004;6782;ESTANCIA_MEDIA;9.988952904;A
2005;6775;ESTANCIA_MEDIA;6.410204283;A
2005;6776;ESTANCIA_MEDIA;6.471521124;A
2005;6778;ESTANCIA_MEDIA;9.070947284;A
2005;6779;ESTANCIA_MEDIA;9.919522037;A
2005;6782;ESTANCIA_MEDIA;7.543677646;A
2006;6775;ESTANCIA_MEDIA;7.028678867;A
2006;6776;ESTANCIA_MEDIA;7.499336045;A
2006;6778;ESTANCIA_MEDIA;11.401193757;A
2006;6779;ESTANCIA_MEDIA;12.958978271;A
2006;6782;ESTANCIA_MEDIA;8.975502801;A
2007;6775;ESTANCIA_MEDIA;6.002264807;A
2007;6776;ESTANCIA_MEDIA;7.009354971;A
2007;6778;ESTANCIA_MEDIA;10.893223037;A
2007;6779;ESTANCIA_MEDIA;11.297734655;A
2007;6782;ESTANCIA_MEDIA;8.223302548;A
2008;6775;ESTANCIA_MEDIA;6.054514135;A
2008;6776;ESTANCIA_MEDIA;7.456450225;A
2008;6778;ESTANCIA_MEDIA;11.322064915;A
2008;6779;ESTANCIA_MEDIA;12.017533285;A
2008;6782;ESTANCIA_MEDIA;8.55107921;A
2009;6775;ESTANCIA_MEDIA;6.5282615;A
2009;6776;ESTANCIA_MEDIA;7.793863861;A
2009;6778;ESTANCIA_MEDIA;11.40806964;A
2009;6779;ESTANCIA_MEDIA;12.308223378;A
2009;6782;ESTANCIA_MEDIA;8.788552838;A
2010;6775;ESTANCIA_MEDIA;6.296534965;A
2010;6776;ESTANCIA_MEDIA;8.135229572;A
2010;6778;ESTANCIA_MEDIA;12.155415087;A
2010;6779;ESTANCIA_MEDIA;11.651767214;A
2010;6782;ESTANCIA_MEDIA;9.011505791;A
2011;6775;ESTANCIA_MEDIA;6.433179174;A
2011;6776;ESTANCIA_MEDIA;8.181191372;A
2011;6778;ESTANCIA_MEDIA;11.696384388;A
2011;6779;ESTANCIA_MEDIA;12.269315858;A
2011;6782;ESTANCIA_MEDIA;9.053612601;A
2012;6775;ESTANCIA_MEDIA;6.694563766;A
2012;6776;ESTANCIA_MEDIA;8.632868103;A
2012;6778;ESTANCIA_MEDIA;11.293559797;A
2012;6779;ESTANCIA_MEDIA;13.116119045;A
2012;6782;ESTANCIA_MEDIA;9.145334408;A
2013;6775;ESTANCIA_MEDIA;6.209588273;A
2013;6776;ESTANCIA_MEDIA;8.725598817;A
2013;6778;ESTANCIA_MEDIA;11.162777263;A
2013;6779;ESTANCIA_MEDIA;13.620935518;A
2013;6782;ESTANCIA_MEDIA;9.022718259;A
2014;6775;ESTANCIA_MEDIA;6.280096866;A
2014;6776;ESTANCIA_MEDIA;8.430368588;A
2014;6778;ESTANCIA_MEDIA;11.059014413;A
2014;6779;ESTANCIA_MEDIA;13.081750194;A
2014;6782;ESTANCIA_MEDIA;8.867510014;A
2015;6775;ESTANCIA_MEDIA;6.165901911;A
2015;6776;ESTANCIA_MEDIA;7.997249484;A
2015;6778;ESTANCIA_MEDIA;10.307489794;A
2015;6779;ESTANCIA_MEDIA;13.025714477;A
2015;6782;ESTANCIA_MEDIA;8.694870927;A
2016;6775;ESTANCIA_MEDIA;6.038636335;A
2016;6776;ESTANCIA_MEDIA;7.976316891;A
2016;6778;ESTANCIA_MEDIA;10.198395586;A
2016;6779;ESTANCIA_MEDIA;13.726484765;A
