D_G102_0;D_EDAD_0;D_TERRITORIO_0;D_TEMPORAL_0;D_MES_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
57629;61620;3143;2018;55912;3690;Defunciones;4.0;A
57629;61620;3143;2018;55913;3691;Defunciones;2.0;A
57629;61620;3143;2018;55913;3690;Defunciones;2.0;A
57629;61620;3143;2018;55914;3691;Defunciones;3.0;A
57629;61620;3143;2018;55914;3689;Defunciones;1.0;A
57629;61620;3143;2018;55914;3690;Defunciones;2.0;A
57629;61620;3143;2018;55915;3691;Defunciones;2.0;A
57629;61620;3143;2018;55915;3689;Defunciones;1.0;A
57629;61620;3143;2018;55915;3690;Defunciones;1.0;A
57629;61620;3143;2018;55916;3691;Defunciones;2.0;A
57629;61620;3143;2018;55916;3689;Defunciones;2.0;A
57629;61620;3143;2018;55917;3691;Defunciones;4.0;A
57629;61620;3143;2018;55917;3689;Defunciones;1.0;A
57629;61620;3143;2018;55917;3690;Defunciones;3.0;A
57629;61620;3143;2018;55918;3691;Defunciones;5.0;A
57629;61620;3143;2018;55918;3689;Defunciones;1.0;A
57629;61620;3143;2018;55918;3690;Defunciones;4.0;A
57629;61620;3143;2018;55919;3691;Defunciones;1.0;A
57629;61620;3143;2018;55919;3689;Defunciones;1.0;A
57629;61620;3143;2017;55920;3691;Defunciones;39.0;A
57629;61620;3143;2017;55920;3689;Defunciones;13.0;A
57629;61620;3143;2017;55920;3690;Defunciones;26.0;A
57629;61620;3143;2017;55908;3691;Defunciones;4.0;A
57629;61620;3143;2017;55908;3689;Defunciones;2.0;A
57629;61620;3143;2017;55908;3690;Defunciones;2.0;A
57629;61620;3143;2017;55909;3691;Defunciones;1.0;A
57629;61620;3143;2017;55909;3690;Defunciones;1.0;A
57629;61620;3143;2017;55910;3691;Defunciones;6.0;A
57629;61620;3143;2017;55910;3689;Defunciones;1.0;A
57629;61620;3143;2017;55910;3690;Defunciones;5.0;A
57629;61620;3143;2017;55911;3691;Defunciones;1.0;A
57629;61620;3143;2017;55911;3690;Defunciones;1.0;A
57629;61620;3143;2017;55913;3691;Defunciones;1.0;A
57629;61620;3143;2017;55913;3690;Defunciones;1.0;A
57629;61620;3143;2017;55914;3691;Defunciones;6.0;A
57629;61620;3143;2017;55914;3689;Defunciones;2.0;A
57629;61620;3143;2017;55914;3690;Defunciones;4.0;A
57629;61620;3143;2017;55915;3691;Defunciones;2.0;A
57629;61620;3143;2017;55915;3689;Defunciones;1.0;A
57629;61620;3143;2017;55915;3690;Defunciones;1.0;A
57629;61620;3143;2017;55916;3691;Defunciones;3.0;A
57629;61620;3143;2017;55916;3689;Defunciones;1.0;A
57629;61620;3143;2017;55916;3690;Defunciones;2.0;A
57629;61620;3143;2017;55917;3691;Defunciones;5.0;A
57629;61620;3143;2017;55917;3690;Defunciones;5.0;A
57629;61620;3143;2017;55918;3691;Defunciones;3.0;A
57629;61620;3143;2017;55918;3689;Defunciones;1.0;A
57629;61620;3143;2017;55918;3690;Defunciones;2.0;A
57629;61620;3143;2017;55919;3691;Defunciones;7.0;A
57629;61620;3143;2017;55919;3689;Defunciones;5.0;A
57629;61620;3143;2017;55919;3690;Defunciones;2.0;A
57629;61621;3143;2018;55920;3691;Defunciones;31.0;A
57629;61621;3143;2018;55920;3689;Defunciones;7.0;A
57629;61621;3143;2018;55920;3690;Defunciones;24.0;A
57629;61621;3143;2018;55908;3691;Defunciones;5.0;A
57629;61621;3143;2018;55908;3689;Defunciones;1.0;A
57629;61621;3143;2018;55908;3690;Defunciones;4.0;A
57629;61621;3143;2018;55909;3691;Defunciones;2.0;A
57629;61621;3143;2018;55909;3690;Defunciones;2.0;A
57629;61621;3143;2018;55911;3691;Defunciones;6.0;A
57629;61621;3143;2018;55911;3689;Defunciones;2.0;A
57629;61621;3143;2018;55911;3690;Defunciones;4.0;A
57629;61621;3143;2018;55912;3691;Defunciones;2.0;A
57629;61621;3143;2018;55912;3689;Defunciones;1.0;A
57629;61621;3143;2018;55912;3690;Defunciones;1.0;A
57629;61621;3143;2018;55913;3691;Defunciones;5.0;A
57629;61621;3143;2018;55913;3689;Defunciones;2.0;A
57629;61621;3143;2018;55913;3690;Defunciones;3.0;A
57629;61621;3143;2018;55915;3691;Defunciones;2.0;A
57629;61621;3143;2018;55915;3690;Defunciones;2.0;A
57629;61621;3143;2018;55916;3691;Defunciones;4.0;A
57629;61621;3143;2018;55916;3690;Defunciones;4.0;A
57629;61621;3143;2018;55917;3691;Defunciones;1.0;A
57629;61621;3143;2018;55917;3690;Defunciones;1.0;A
57629;61621;3143;2018;55918;3691;Defunciones;2.0;A
57629;61621;3143;2018;55918;3690;Defunciones;2.0;A
57629;61621;3143;2018;55919;3691;Defunciones;2.0;A
57629;61621;3143;2018;55919;3689;Defunciones;1.0;A
57629;61621;3143;2018;55919;3690;Defunciones;1.0;A
57629;61621;3143;2017;55920;3691;Defunciones;30.0;A
57629;61621;3143;2017;55920;3689;Defunciones;6.0;A
57629;61621;3143;2017;55920;3690;Defunciones;24.0;A
57629;61621;3143;2017;55908;3691;Defunciones;5.0;A
57629;61621;3143;2017;55908;3689;Defunciones;3.0;A
57629;61621;3143;2017;55908;3690;Defunciones;2.0;A
57629;61621;3143;2017;55909;3691;Defunciones;4.0;A
57629;61621;3143;2017;55909;3689;Defunciones;1.0;A
57629;61621;3143;2017;55909;3690;Defunciones;3.0;A
57629;61621;3143;2017;55910;3691;Defunciones;4.0;A
57629;61621;3143;2017;55910;3690;Defunciones;4.0;A
57629;61621;3143;2017;55911;3691;Defunciones;3.0;A
57629;61621;3143;2017;55911;3689;Defunciones;1.0;A
57629;61621;3143;2017;55911;3690;Defunciones;2.0;A
57629;61621;3143;2017;55912;3691;Defunciones;2.0;A
57629;61621;3143;2017;55912;3689;Defunciones;1.0;A
57629;61621;3143;2017;55912;3690;Defunciones;1.0;A
57629;61621;3143;2017;55913;3691;Defunciones;1.0;A
57629;61621;3143;2017;55913;3690;Defunciones;1.0;A
57629;61621;3143;2017;55914;3691;Defunciones;1.0;A
57629;61621;3143;2017;55914;3690;Defunciones;1.0;A
57629;61621;3143;2017;55915;3691;Defunciones;1.0;A
57629;61621;3143;2017;55915;3690;Defunciones;1.0;A
57629;61621;3143;2017;55916;3691;Defunciones;1.0;A
57629;61621;3143;2017;55916;3690;Defunciones;1.0;A
57629;61621;3143;2017;55917;3691;Defunciones;4.0;A
57629;61621;3143;2017;55917;3690;Defunciones;4.0;A
57629;61621;3143;2017;55918;3691;Defunciones;2.0;A
57629;61621;3143;2017;55918;3690;Defunciones;2.0;A
57629;61621;3143;2017;55919;3691;Defunciones;2.0;A
57629;61621;3143;2017;55919;3690;Defunciones;2.0;A
57629;61622;3143;2018;55920;3691;Defunciones;7.0;A
57629;61622;3143;2018;55920;3689;Defunciones;2.0;A
57629;61622;3143;2018;55920;3690;Defunciones;5.0;A
57629;61622;3143;2018;55908;3691;Defunciones;2.0;A
57629;61622;3143;2018;55908;3689;Defunciones;1.0;A
57629;61622;3143;2018;55908;3690;Defunciones;1.0;A
57629;61622;3143;2018;55910;3691;Defunciones;1.0;A
57629;61622;3143;2018;55910;3690;Defunciones;1.0;A
57629;61622;3143;2018;55912;3691;Defunciones;1.0;A
57629;61622;3143;2018;55912;3689;Defunciones;1.0;A
57629;61622;3143;2018;55913;3691;Defunciones;1.0;A
57629;61622;3143;2018;55913;3690;Defunciones;1.0;A
57629;61622;3143;2018;55915;3691;Defunciones;1.0;A
57629;61622;3143;2018;55915;3690;Defunciones;1.0;A
57629;61622;3143;2018;55918;3691;Defunciones;1.0;A
57629;61622;3143;2018;55918;3690;Defunciones;1.0;A
57629;61622;3143;2017;55920;3691;Defunciones;7.0;A
57629;61622;3143;2017;55920;3690;Defunciones;7.0;A
57629;61622;3143;2017;55910;3691;Defunciones;1.0;A
57629;61622;3143;2017;55910;3690;Defunciones;1.0;A
57629;61622;3143;2017;55912;3691;Defunciones;1.0;A
57629;61622;3143;2017;55912;3690;Defunciones;1.0;A
57629;61622;3143;2017;55914;3691;Defunciones;2.0;A
57629;61622;3143;2017;55914;3690;Defunciones;2.0;A
57629;61622;3143;2017;55916;3691;Defunciones;1.0;A
57629;61622;3143;2017;55916;3690;Defunciones;1.0;A
57629;61622;3143;2017;55918;3691;Defunciones;2.0;A
57629;61622;3143;2017;55918;3690;Defunciones;2.0;A
57629;61623;3143;2018;55920;3691;Defunciones;1.0;A
57629;61623;3143;2018;55920;3690;Defunciones;1.0;A
57629;61623;3143;2018;55908;3691;Defunciones;1.0;A
57629;61623;3143;2018;55908;3690;Defunciones;1.0;A
57629;61623;3143;2017;55920;3691;Defunciones;1.0;A
57629;61623;3143;2017;55920;3690;Defunciones;1.0;A
57629;61623;3143;2017;55916;3691;Defunciones;1.0;A
57629;61623;3143;2017;55916;3690;Defunciones;1.0;A
57629;4306;3143;2018;55920;3691;Defunciones;160.0;A
57629;4306;3143;2018;55920;3689;Defunciones;57.0;A
57629;4306;3143;2018;55920;3690;Defunciones;103.0;A
57629;4306;3143;2018;55908;3691;Defunciones;24.0;A
57629;4306;3143;2018;55908;3689;Defunciones;11.0;A
57629;4306;3143;2018;55908;3690;Defunciones;13.0;A
57629;4306;3143;2018;55909;3691;Defunciones;12.0;A
57629;4306;3143;2018;55909;3689;Defunciones;3.0;A
57629;4306;3143;2018;55909;3690;Defunciones;9.0;A
57629;4306;3143;2018;55910;3691;Defunciones;20.0;A
57629;4306;3143;2018;55910;3689;Defunciones;4.0;A
57629;4306;3143;2018;55910;3690;Defunciones;16.0;A
57629;4306;3143;2018;55911;3691;Defunciones;10.0;A
57629;4306;3143;2018;55911;3689;Defunciones;3.0;A
57629;4306;3143;2018;55911;3690;Defunciones;7.0;A
57629;4306;3143;2018;55912;3691;Defunciones;18.0;A
57629;4306;3143;2018;55912;3689;Defunciones;11.0;A
57629;4306;3143;2018;55912;3690;Defunciones;7.0;A
57629;4306;3143;2018;55913;3691;Defunciones;10.0;A
57629;4306;3143;2018;55913;3689;Defunciones;3.0;A
57629;4306;3143;2018;55913;3690;Defunciones;7.0;A
57629;4306;3143;2018;55914;3691;Defunciones;10.0;A
57629;4306;3143;2018;55914;3689;Defunciones;1.0;A
57629;4306;3143;2018;55914;3690;Defunciones;9.0;A
57629;4306;3143;2018;55915;3691;Defunciones;9.0;A
57629;4306;3143;2018;55915;3689;Defunciones;2.0;A
57629;4306;3143;2018;55915;3690;Defunciones;7.0;A
57629;4306;3143;2018;55916;3691;Defunciones;12.0;A
57629;4306;3143;2018;55916;3689;Defunciones;6.0;A
57629;4306;3143;2018;55916;3690;Defunciones;6.0;A
57629;4306;3143;2018;55917;3691;Defunciones;8.0;A
57629;4306;3143;2018;55917;3689;Defunciones;4.0;A
57629;4306;3143;2018;55917;3690;Defunciones;4.0;A
57629;4306;3143;2018;55918;3691;Defunciones;16.0;A
57629;4306;3143;2018;55918;3689;Defunciones;2.0;A
57629;4306;3143;2018;55918;3690;Defunciones;14.0;A
57629;4306;3143;2018;55919;3691;Defunciones;11.0;A
57629;4306;3143;2018;55919;3689;Defunciones;7.0;A
57629;4306;3143;2018;55919;3690;Defunciones;4.0;A
57629;4306;3143;2017;55920;3691;Defunciones;145.0;A
57629;4306;3143;2017;55920;3689;Defunciones;43.0;A
57629;4306;3143;2017;55920;3690;Defunciones;102.0;A
57629;4306;3143;2017;55908;3691;Defunciones;15.0;A
57629;4306;3143;2017;55908;3689;Defunciones;6.0;A
57629;4306;3143;2017;55908;3690;Defunciones;9.0;A
57629;4306;3143;2017;55909;3691;Defunciones;9.0;A
57629;4306;3143;2017;55909;3689;Defunciones;2.0;A
57629;4306;3143;2017;55909;3690;Defunciones;7.0;A
57629;4306;3143;2017;55910;3691;Defunciones;20.0;A
57629;4306;3143;2017;55910;3689;Defunciones;3.0;A
57629;4306;3143;2017;55910;3690;Defunciones;17.0;A
57629;4306;3143;2017;55911;3691;Defunciones;9.0;A
57629;4306;3143;2017;55911;3689;Defunciones;2.0;A
57629;4306;3143;2017;55911;3690;Defunciones;7.0;A
57629;4306;3143;2017;55912;3691;Defunciones;8.0;A
57629;4306;3143;2017;55912;3689;Defunciones;1.0;A
57629;4306;3143;2017;55912;3690;Defunciones;7.0;A
57629;4306;3143;2017;55913;3691;Defunciones;4.0;A
57629;4306;3143;2017;55913;3689;Defunciones;2.0;A
57629;4306;3143;2017;55913;3690;Defunciones;2.0;A
57629;4306;3143;2017;55914;3691;Defunciones;12.0;A
57629;4306;3143;2017;55914;3689;Defunciones;3.0;A
57629;4306;3143;2017;55914;3690;Defunciones;9.0;A
57629;4306;3143;2017;55915;3691;Defunciones;12.0;A
57629;4306;3143;2017;55915;3689;Defunciones;7.0;A
57629;4306;3143;2017;55915;3690;Defunciones;5.0;A
57629;4306;3143;2017;55916;3691;Defunciones;10.0;A
57629;4306;3143;2017;55916;3689;Defunciones;3.0;A
57629;4306;3143;2017;55916;3690;Defunciones;7.0;A
57629;4306;3143;2017;55917;3691;Defunciones;15.0;A
57629;4306;3143;2017;55917;3689;Defunciones;4.0;A
57629;4306;3143;2017;55917;3690;Defunciones;11.0;A
57629;4306;3143;2017;55918;3691;Defunciones;17.0;A
57629;4306;3143;2017;55918;3689;Defunciones;4.0;A
57629;4306;3143;2017;55918;3690;Defunciones;13.0;A
57629;4306;3143;2017;55919;3691;Defunciones;14.0;A
57629;4306;3143;2017;55919;3689;Defunciones;6.0;A
