TEMPORAL;TIPO_ALOJAM_ECTA;TERRITORIO;INDICATOR;OBS_VALUE;FREQ;SEXO;PROCEDENCIA_ECTA
2003;6792;ES61;ESTANCIA_MEDIA;6.760304217;A;_Z;_Z
2004;6793;ES61;ESTANCIA_MEDIA;9.988952904;A;_Z;_Z
2004;6784;ES61;ESTANCIA_MEDIA;4.966485753;A;_Z;_Z
2004;6785;ES61;ESTANCIA_MEDIA;4.416391743;A;_Z;_Z
2004;6786;ES61;ESTANCIA_MEDIA;18.980635455;A;_Z;_Z
2004;6787;ES61;ESTANCIA_MEDIA;22.336428795;A;_Z;_Z
2004;6789;ES61;ESTANCIA_MEDIA;7.87753498;A;_Z;_Z
2004;6790;ES61;ESTANCIA_MEDIA;6.642035754;A;_Z;_Z
2004;6791;ES61;ESTANCIA_MEDIA;3.616867118;A;_Z;_Z
2004;6792;ES61;ESTANCIA_MEDIA;8.178280164;A;_Z;_Z
2005;6793;ES61;ESTANCIA_MEDIA;7.618601926;A;_Z;_Z
2005;6784;ES61;ESTANCIA_MEDIA;4.757628971;A;_Z;_Z
2005;6785;ES61;ESTANCIA_MEDIA;4.597352463;A;_Z;_Z
2005;6786;ES61;ESTANCIA_MEDIA;14.411991704;A;_Z;_Z
2005;6787;ES61;ESTANCIA_MEDIA;14.289553939;A;_Z;_Z
2005;6789;ES61;ESTANCIA_MEDIA;8.753800218;A;_Z;_Z
2005;6790;ES61;ESTANCIA_MEDIA;5.7126456;A;_Z;_Z
2005;6791;ES61;ESTANCIA_MEDIA;4.2445419;A;_Z;_Z
2005;6792;ES61;ESTANCIA_MEDIA;5.403786497;A;_Z;_Z
2006;6793;ES61;ESTANCIA_MEDIA;8.975502801;A;_Z;_Z
2006;6784;ES61;ESTANCIA_MEDIA;5.333621825;A;_Z;_Z
2006;6785;ES61;ESTANCIA_MEDIA;3.784431075;A;_Z;_Z
2006;6786;ES61;ESTANCIA_MEDIA;17.919142161;A;_Z;_Z
2006;6787;ES61;ESTANCIA_MEDIA;16.606604198;A;_Z;_Z
2006;6789;ES61;ESTANCIA_MEDIA;7.435108106;A;_Z;_Z
2006;6790;ES61;ESTANCIA_MEDIA;4.760096037;A;_Z;_Z
2006;6791;ES61;ESTANCIA_MEDIA;3.096294474;A;_Z;_Z
2006;6792;ES61;ESTANCIA_MEDIA;8.214789769;A;_Z;_Z
2007;6793;ES61;ESTANCIA_MEDIA;8.225967735;A;_Z;_Z
2007;6784;ES61;ESTANCIA_MEDIA;5.251891902;A;_Z;_Z
2007;6785;ES61;ESTANCIA_MEDIA;3.642821088;A;_Z;_Z
2007;6786;ES61;ESTANCIA_MEDIA;16.89792361;A;_Z;_Z
2007;6787;ES61;ESTANCIA_MEDIA;15.604165468;A;_Z;_Z
2007;6789;ES61;ESTANCIA_MEDIA;6.90583558;A;_Z;_Z
2007;6790;ES61;ESTANCIA_MEDIA;6.238592077;A;_Z;_Z
2007;6791;ES61;ESTANCIA_MEDIA;3.196117647;A;_Z;_Z
2007;6792;ES61;ESTANCIA_MEDIA;6.88061203;A;_Z;_Z
