D_TEMPORAL_0;D_SEXO_0;D_MCVL_INTERVINGRESOS_0;D_TERRITORIO_0;D_MCVL_PENSIONISTA_0;INDICATOR;OBS_VALUE;FREQ
2006;3689;55203;2352;55179;Población;28525.0;A
2006;3689;55203;2402;55179;Población;48450.0;A
2006;3689;55203;2482;55179;Población;41375.0;A
2006;3689;55203;2713;55179;Población;47600.0;A
2006;3689;55203;2797;55179;Población;22900.0;A
2006;3689;55203;2911;55179;Población;40125.0;A
2006;3689;55203;3023;55179;Población;60300.0;A
2006;3689;55203;3142;55179;Población;80050.0;A
2006;3689;55203;3143;55179;Población;369325.0;A
2006;3689;55204;2352;55179;Población;8700.0;A
2006;3689;55204;2402;55179;Población;26400.0;A
2006;3689;55204;2482;55179;Población;18900.0;A
2006;3689;55204;2713;55179;Población;21750.0;A
2006;3689;55204;2797;55179;Población;13975.0;A
2006;3689;55204;2911;55179;Población;20600.0;A
2006;3689;55204;3023;55179;Población;31200.0;A
2006;3689;55204;3142;55179;Población;43125.0;A
2006;3689;55204;3143;55179;Población;184650.0;A
2006;3689;55205;2352;55179;Población;3050.0;A
2006;3689;55205;2402;55179;Población;13550.0;A
2006;3689;55205;2482;55179;Población;5400.0;A
2006;3689;55205;2713;55179;Población;6250.0;A
2006;3689;55205;2797;55179;Población;4000.0;A
2006;3689;55205;2911;55179;Población;5050.0;A
2006;3689;55205;3023;55179;Población;9800.0;A
2006;3689;55205;3142;55179;Población;15950.0;A
2006;3689;55205;3143;55179;Población;63050.0;A
2006;3689;55206;2352;55179;Población;1725.0;A
2006;3689;55206;2402;55179;Población;5300.0;A
2006;3689;55206;2482;55179;Población;3600.0;A
2006;3689;55206;2713;55179;Población;3775.0;A
2006;3689;55206;2797;55179;Población;2550.0;A
2006;3689;55206;2911;55179;Población;3000.0;A
2006;3689;55206;3023;55179;Población;5475.0;A
2006;3689;55206;3142;55179;Población;9600.0;A
2006;3689;55206;3143;55179;Población;35025.0;A
2006;3689;55208;2352;55179;Población;1400.0;A
2006;3689;55208;2402;55179;Población;1975.0;A
2006;3689;55208;2482;55179;Población;1975.0;A
2006;3689;55208;2713;55179;Población;1800.0;A
2006;3689;55208;2797;55179;Población;750.0;A
2006;3689;55208;2911;55179;Población;925.0;A
2006;3689;55208;3023;55179;Población;3125.0;A
2006;3689;55208;3142;55179;Población;2800.0;A
2006;3689;55208;3143;55179;Población;14750.0;A
2006;3689;55207;2352;55179;Población;43400.0;A
2006;3689;55207;2402;55179;Población;95675.0;A
2006;3689;55207;2482;55179;Población;71250.0;A
2006;3689;55207;2713;55179;Población;81175.0;A
2006;3689;55207;2797;55179;Población;44175.0;A
2006;3689;55207;2911;55179;Población;69700.0;A
2006;3689;55207;3023;55179;Población;109900.0;A
2006;3689;55207;3142;55179;Población;151525.0;A
2006;3689;55207;3143;55179;Población;666800.0;A
2006;3690;55203;2352;55179;Población;31000.0;A
2006;3690;55203;2402;55179;Población;52575.0;A
2006;3690;55203;2482;55179;Población;54800.0;A
2006;3690;55203;2713;55179;Población;57700.0;A
2006;3690;55203;2797;55179;Población;29100.0;A
2006;3690;55203;2911;55179;Población;41950.0;A
2006;3690;55203;3023;55179;Población;68725.0;A
2006;3690;55203;3142;55179;Población;110175.0;A
2006;3690;55203;3143;55179;Población;446025.0;A
2006;3690;55204;2352;55179;Población;5650.0;A
2006;3690;55204;2402;55179;Población;15300.0;A
2006;3690;55204;2482;55179;Población;12700.0;A
2006;3690;55204;2713;55179;Población;12325.0;A
2006;3690;55204;2797;55179;Población;6575.0;A
2006;3690;55204;2911;55179;Población;8700.0;A
2006;3690;55204;3023;55179;Población;19050.0;A
2006;3690;55204;3142;55179;Población;26550.0;A
2006;3690;55204;3143;55179;Población;106850.0;A
2006;3690;55205;2352;55179;Población;1075.0;A
2006;3690;55205;2402;55179;Población;2650.0;A
2006;3690;55205;2482;55179;Población;1925.0;A
2006;3690;55205;2713;55179;Población;2475.0;A
2006;3690;55205;2797;55179;Población;875.0;A
2006;3690;55205;2911;55179;Población;1600.0;A
2006;3690;55205;3023;55179;Población;3575.0;A
2006;3690;55205;3142;55179;Población;4800.0;A
2006;3690;55205;3143;55179;Población;18975.0;A
2006;3690;55206;2352;55179;Población;*;A
2006;3690;55206;2402;55179;Población;1250.0;A
2006;3690;55206;2482;55179;Población;1350.0;A
2006;3690;55206;2713;55179;Población;1225.0;A
2006;3690;55206;2797;55179;Población;*;A
2006;3690;55206;2911;55179;Población;675.0;A
2006;3690;55206;3023;55179;Población;1875.0;A
2006;3690;55206;3142;55179;Población;3050.0;A
2006;3690;55206;3143;55179;Población;10275.0;A
2006;3690;55208;2352;55179;Población;825.0;A
2006;3690;55208;2402;55179;Población;1375.0;A
2006;3690;55208;2482;55179;Población;1600.0;A
2006;3690;55208;2713;55179;Población;1450.0;A
2006;3690;55208;2797;55179;Población;825.0;A
2006;3690;55208;2911;55179;Población;1000.0;A
2006;3690;55208;3023;55179;Población;2800.0;A
2006;3690;55208;3142;55179;Población;3025.0;A
2006;3690;55208;3143;55179;Población;12900.0;A
2006;3690;55207;2352;55179;Población;39025.0;A
2006;3690;55207;2402;55179;Población;73150.0;A
2006;3690;55207;2482;55179;Población;72375.0;A
2006;3690;55207;2713;55179;Población;75175.0;A
2006;3690;55207;2797;55179;Población;37750.0;A
2006;3690;55207;2911;55179;Población;53925.0;A
2006;3690;55207;3023;55179;Población;96025.0;A
2006;3690;55207;3142;55179;Población;147600.0;A
2006;3690;55207;3143;55179;Población;595025.0;A
2006;3691;55203;2352;55179;Población;59525.0;A
2006;3691;55203;2402;55179;Población;101025.0;A
2006;3691;55203;2482;55179;Población;96175.0;A
2006;3691;55203;2713;55179;Población;105300.0;A
2006;3691;55203;2797;55179;Población;52000.0;A
2006;3691;55203;2911;55179;Población;82075.0;A
2006;3691;55203;3023;55179;Población;129025.0;A
2006;3691;55203;3142;55179;Población;190225.0;A
2006;3691;55203;3143;55179;Población;815350.0;A
2006;3691;55204;2352;55179;Población;14350.0;A
2006;3691;55204;2402;55179;Población;41700.0;A
2006;3691;55204;2482;55179;Población;31600.0;A
2006;3691;55204;2713;55179;Población;34075.0;A
2006;3691;55204;2797;55179;Población;20550.0;A
2006;3691;55204;2911;55179;Población;29300.0;A
2006;3691;55204;3023;55179;Población;50250.0;A
2006;3691;55204;3142;55179;Población;69675.0;A
2006;3691;55204;3143;55179;Población;291500.0;A
2006;3691;55205;2352;55179;Población;4125.0;A
2006;3691;55205;2402;55179;Población;16200.0;A
2006;3691;55205;2482;55179;Población;7325.0;A
2006;3691;55205;2713;55179;Población;8725.0;A
2006;3691;55205;2797;55179;Población;4875.0;A
2006;3691;55205;2911;55179;Población;6650.0;A
2006;3691;55205;3023;55179;Población;13375.0;A
2006;3691;55205;3142;55179;Población;20750.0;A
2006;3691;55205;3143;55179;Población;82025.0;A
2006;3691;55206;2352;55179;Población;2200.0;A
2006;3691;55206;2402;55179;Población;6550.0;A
2006;3691;55206;2482;55179;Población;4950.0;A
2006;3691;55206;2713;55179;Población;5000.0;A
2006;3691;55206;2797;55179;Población;2925.0;A
2006;3691;55206;2911;55179;Población;3675.0;A
2006;3691;55206;3023;55179;Población;7350.0;A
2006;3691;55206;3142;55179;Población;12650.0;A
2006;3691;55206;3143;55179;Población;45300.0;A
2006;3691;55208;2352;55179;Población;2225.0;A
2006;3691;55208;2402;55179;Población;3350.0;A
2006;3691;55208;2482;55179;Población;3575.0;A
2006;3691;55208;2713;55179;Población;3250.0;A
2006;3691;55208;2797;55179;Población;1575.0;A
2006;3691;55208;2911;55179;Población;1925.0;A
2006;3691;55208;3023;55179;Población;5925.0;A
2006;3691;55208;3142;55179;Población;5825.0;A
2006;3691;55208;3143;55179;Población;27650.0;A
2006;3691;55207;2352;55179;Población;82425.0;A
2006;3691;55207;2402;55179;Población;168825.0;A
2006;3691;55207;2482;55179;Población;143625.0;A
2006;3691;55207;2713;55179;Población;156350.0;A
2006;3691;55207;2797;55179;Población;81925.0;A
2006;3691;55207;2911;55179;Población;123625.0;A
2006;3691;55207;3023;55179;Población;205925.0;A
2006;3691;55207;3142;55179;Población;299125.0;A
2006;3691;55207;3143;55179;Población;1261825.0;A
2007;3689;55203;2352;55179;Población;27900.0;A
2007;3689;55203;2402;55179;Población;47750.0;A
2007;3689;55203;2482;55179;Población;39550.0;A
2007;3689;55203;2713;55179;Población;46600.0;A
2007;3689;55203;2797;55179;Población;22275.0;A
2007;3689;55203;2911;55179;Población;35175.0;A
2007;3689;55203;3023;55179;Población;59200.0;A
2007;3689;55203;3142;55179;Población;77500.0;A
2007;3689;55203;3143;55179;Población;355950.0;A
2007;3689;55204;2352;55179;Población;9050.0;A
2007;3689;55204;2402;55179;Población;26825.0;A
2007;3689;55204;2482;55179;Población;19875.0;A
2007;3689;55204;2713;55179;Población;21950.0;A
2007;3689;55204;2797;55179;Población;13800.0;A
2007;3689;55204;2911;55179;Población;23375.0;A
2007;3689;55204;3023;55179;Población;32375.0;A
2007;3689;55204;3142;55179;Población;44450.0;A
2007;3689;55204;3143;55179;Población;191700.0;A
2007;3689;55205;2352;55179;Población;3175.0;A
2007;3689;55205;2402;55179;Población;14850.0;A
2007;3689;55205;2482;55179;Población;5725.0;A
2007;3689;55205;2713;55179;Población;7075.0;A
2007;3689;55205;2797;55179;Población;4950.0;A
2007;3689;55205;2911;55179;Población;6375.0;A
2007;3689;55205;3023;55179;Población;10425.0;A
2007;3689;55205;3142;55179;Población;18425.0;A
2007;3689;55205;3143;55179;Población;71000.0;A
2007;3689;55206;2352;55179;Población;2175.0;A
2007;3689;55206;2402;55179;Población;5875.0;A
2007;3689;55206;2482;55179;Población;4025.0;A
2007;3689;55206;2713;55179;Población;4250.0;A
2007;3689;55206;2797;55179;Población;2875.0;A
2007;3689;55206;2911;55179;Población;3625.0;A
2007;3689;55206;3023;55179;Población;6975.0;A
2007;3689;55206;3142;55179;Población;10950.0;A
2007;3689;55206;3143;55179;Población;40750.0;A
2007;3689;55208;2352;55179;Población;1275.0;A
2007;3689;55208;2402;55179;Población;1950.0;A
2007;3689;55208;2482;55179;Población;2075.0;A
2007;3689;55208;2713;55179;Población;1625.0;A
2007;3689;55208;2797;55179;Población;725.0;A
2007;3689;55208;2911;55179;Población;950.0;A
2007;3689;55208;3023;55179;Población;2875.0;A
2007;3689;55208;3142;55179;Población;2675.0;A
2007;3689;55208;3143;55179;Población;14150.0;A
2007;3689;55207;2352;55179;Población;43575.0;A
2007;3689;55207;2402;55179;Población;97250.0;A
2007;3689;55207;2482;55179;Población;71250.0;A
2007;3689;55207;2713;55179;Población;81500.0;A
2007;3689;55207;2797;55179;Población;44625.0;A
2007;3689;55207;2911;55179;Población;69500.0;A
2007;3689;55207;3023;55179;Población;111850.0;A
2007;3689;55207;3142;55179;Población;154000.0;A
2007;3689;55207;3143;55179;Población;673550.0;A
2007;3690;55203;2352;55179;Población;30650.0;A
2007;3690;55203;2402;55179;Población;52150.0;A
2007;3690;55203;2482;55179;Población;54275.0;A
2007;3690;55203;2713;55179;Población;57225.0;A
2007;3690;55203;2797;55179;Población;28825.0;A
2007;3690;55203;2911;55179;Población;40100.0;A
2007;3690;55203;3023;55179;Población;69700.0;A
2007;3690;55203;3142;55179;Población;109475.0;A
2007;3690;55203;3143;55179;Población;442400.0;A
2007;3690;55204;2352;55179;Población;6300.0;A
2007;3690;55204;2402;55179;Población;16675.0;A
2007;3690;55204;2482;55179;Población;13825.0;A
2007;3690;55204;2713;55179;Población;13125.0;A
2007;3690;55204;2797;55179;Población;7125.0;A
2007;3690;55204;2911;55179;Población;10350.0;A
2007;3690;55204;3023;55179;Población;20125.0;A
2007;3690;55204;3142;55179;Población;29525.0;A
2007;3690;55204;3143;55179;Población;117050.0;A
2007;3690;55205;2352;55179;Población;1075.0;A
2007;3690;55205;2402;55179;Población;2925.0;A
2007;3690;55205;2482;55179;Población;2200.0;A
2007;3690;55205;2713;55179;Población;2600.0;A
2007;3690;55205;2797;55179;Población;1000.0;A
2007;3690;55205;2911;55179;Población;1900.0;A
2007;3690;55205;3023;55179;Población;3900.0;A
2007;3690;55205;3142;55179;Población;5350.0;A
2007;3690;55205;3143;55179;Población;20950.0;A
2007;3690;55206;2352;55179;Población;775.0;A
2007;3690;55206;2402;55179;Población;1750.0;A
2007;3690;55206;2482;55179;Población;1325.0;A
2007;3690;55206;2713;55179;Población;1250.0;A
2007;3690;55206;2797;55179;Población;500.0;A
2007;3690;55206;2911;55179;Población;1225.0;A
2007;3690;55206;3023;55179;Población;2075.0;A
2007;3690;55206;3142;55179;Población;3575.0;A
2007;3690;55206;3143;55179;Población;12475.0;A
2007;3690;55208;2352;55179;Población;825.0;A
2007;3690;55208;2402;55179;Población;1275.0;A
2007;3690;55208;2482;55179;Población;1450.0;A
2007;3690;55208;2713;55179;Población;1550.0;A
2007;3690;55208;2797;55179;Población;750.0;A
2007;3690;55208;2911;55179;Población;900.0;A
2007;3690;55208;3023;55179;Población;2525.0;A
2007;3690;55208;3142;55179;Población;2900.0;A
2007;3690;55208;3143;55179;Población;12175.0;A
2007;3690;55207;2352;55179;Población;39625.0;A
2007;3690;55207;2402;55179;Población;74775.0;A
2007;3690;55207;2482;55179;Población;73075.0;A
2007;3690;55207;2713;55179;Población;75750.0;A
2007;3690;55207;2797;55179;Población;38200.0;A
2007;3690;55207;2911;55179;Población;54475.0;A
2007;3690;55207;3023;55179;Población;98325.0;A
2007;3690;55207;3142;55179;Población;150825.0;A
2007;3690;55207;3143;55179;Población;605050.0;A
2007;3691;55203;2352;55179;Población;58550.0;A
2007;3691;55203;2402;55179;Población;99900.0;A
2007;3691;55203;2482;55179;Población;93825.0;A
2007;3691;55203;2713;55179;Población;103825.0;A
2007;3691;55203;2797;55179;Población;51100.0;A
2007;3691;55203;2911;55179;Población;75275.0;A
2007;3691;55203;3023;55179;Población;128900.0;A
2007;3691;55203;3142;55179;Población;186975.0;A
2007;3691;55203;3143;55179;Población;798350.0;A
2007;3691;55204;2352;55179;Población;15350.0;A
2007;3691;55204;2402;55179;Población;43500.0;A
2007;3691;55204;2482;55179;Población;33700.0;A
2007;3691;55204;2713;55179;Población;35075.0;A
2007;3691;55204;2797;55179;Población;20925.0;A
2007;3691;55204;2911;55179;Población;33725.0;A
2007;3691;55204;3023;55179;Población;52500.0;A
2007;3691;55204;3142;55179;Población;73975.0;A
2007;3691;55204;3143;55179;Población;308750.0;A
2007;3691;55205;2352;55179;Población;4250.0;A
2007;3691;55205;2402;55179;Población;17775.0;A
2007;3691;55205;2482;55179;Población;7925.0;A
2007;3691;55205;2713;55179;Población;9675.0;A
2007;3691;55205;2797;55179;Población;5950.0;A
2007;3691;55205;2911;55179;Población;8275.0;A
2007;3691;55205;3023;55179;Población;14325.0;A
2007;3691;55205;3142;55179;Población;23775.0;A
2007;3691;55205;3143;55179;Población;91950.0;A
2007;3691;55206;2352;55179;Población;2950.0;A
2007;3691;55206;2402;55179;Población;7625.0;A
2007;3691;55206;2482;55179;Población;5350.0;A
2007;3691;55206;2713;55179;Población;5500.0;A
2007;3691;55206;2797;55179;Población;3375.0;A
2007;3691;55206;2911;55179;Población;4850.0;A
2007;3691;55206;3023;55179;Población;9050.0;A
2007;3691;55206;3142;55179;Población;14525.0;A
2007;3691;55206;3143;55179;Población;53225.0;A
2007;3691;55208;2352;55179;Población;2100.0;A
2007;3691;55208;2402;55179;Población;3225.0;A
2007;3691;55208;2482;55179;Población;3525.0;A
2007;3691;55208;2713;55179;Población;3175.0;A
2007;3691;55208;2797;55179;Población;1475.0;A
2007;3691;55208;2911;55179;Población;1850.0;A
2007;3691;55208;3023;55179;Población;5400.0;A
2007;3691;55208;3142;55179;Población;5575.0;A
2007;3691;55208;3143;55179;Población;26325.0;A
2007;3691;55207;2352;55179;Población;83200.0;A
2007;3691;55207;2402;55179;Población;172025.0;A
2007;3691;55207;2482;55179;Población;144325.0;A
2007;3691;55207;2713;55179;Población;157250.0;A
2007;3691;55207;2797;55179;Población;82825.0;A
2007;3691;55207;2911;55179;Población;123975.0;A
2007;3691;55207;3023;55179;Población;210175.0;A
2007;3691;55207;3142;55179;Población;304825.0;A
2007;3691;55207;3143;55179;Población;1278600.0;A
2008;3689;55203;2352;55179;Población;26925.0;A
2008;3689;55203;2402;55179;Población;44200.0;A
2008;3689;55203;2482;55179;Población;37425.0;A
2008;3689;55203;2713;55179;Población;42400.0;A
2008;3689;55203;2797;55179;Población;21250.0;A
2008;3689;55203;2911;55179;Población;31875.0;A
2008;3689;55203;3023;55179;Población;55775.0;A
2008;3689;55203;3142;55179;Población;73525.0;A
2008;3689;55203;3143;55179;Población;333375.0;A
2008;3689;55204;2352;55179;Población;10600.0;A
2008;3689;55204;2402;55179;Población;28500.0;A
2008;3689;55204;2482;55179;Población;20575.0;A
2008;3689;55204;2713;55179;Población;24400.0;A
2008;3689;55204;2797;55179;Población;14100.0;A
2008;3689;55204;2911;55179;Población;25425.0;A
2008;3689;55204;3023;55179;Población;34175.0;A
2008;3689;55204;3142;55179;Población;46700.0;A
2008;3689;55204;3143;55179;Población;204475.0;A
2008;3689;55205;2352;55179;Población;3550.0;A
2008;3689;55205;2402;55179;Población;16225.0;A
2008;3689;55205;2482;55179;Población;7275.0;A
2008;3689;55205;2713;55179;Población;8275.0;A
2008;3689;55205;2797;55179;Población;5600.0;A
2008;3689;55205;2911;55179;Población;6900.0;A
2008;3689;55205;3023;55179;Población;12650.0;A
2008;3689;55205;3142;55179;Población;21300.0;A
2008;3689;55205;3143;55179;Población;81775.0;A
2008;3689;55206;2352;55179;Población;2200.0;A
2008;3689;55206;2402;55179;Población;7725.0;A
2008;3689;55206;2482;55179;Población;5000.0;A
2008;3689;55206;2713;55179;Población;5050.0;A
2008;3689;55206;2797;55179;Población;3625.0;A
2008;3689;55206;2911;55179;Población;4250.0;A
2008;3689;55206;3023;55179;Población;8725.0;A
2008;3689;55206;3142;55179;Población;13200.0;A
2008;3689;55206;3143;55179;Población;49775.0;A
2008;3689;55208;2352;55179;Población;1050.0;A
2008;3689;55208;2402;55179;Población;1825.0;A
2008;3689;55208;2482;55179;Población;1550.0;A
2008;3689;55208;2713;55179;Población;1350.0;A
2008;3689;55208;2797;55179;Población;700.0;A
2008;3689;55208;2911;55179;Población;875.0;A
2008;3689;55208;3023;55179;Población;2525.0;A
2008;3689;55208;3142;55179;Población;2300.0;A
2008;3689;55208;3143;55179;Población;12175.0;A
2008;3689;55207;2352;55179;Población;44325.0;A
2008;3689;55207;2402;55179;Población;98475.0;A
2008;3689;55207;2482;55179;Población;71825.0;A
2008;3689;55207;2713;55179;Población;81475.0;A
2008;3689;55207;2797;55179;Población;45275.0;A
2008;3689;55207;2911;55179;Población;69325.0;A
2008;3689;55207;3023;55179;Población;113850.0;A
2008;3689;55207;3142;55179;Población;157025.0;A
2008;3689;55207;3143;55179;Población;681575.0;A
2008;3690;55203;2352;55179;Población;29725.0;A
2008;3690;55203;2402;55179;Población;51500.0;A
2008;3690;55203;2482;55179;Población;52700.0;A
2008;3690;55203;2713;55179;Población;55175.0;A
2008;3690;55203;2797;55179;Población;27825.0;A
2008;3690;55203;2911;55179;Población;38825.0;A
2008;3690;55203;3023;55179;Población;67600.0;A
2008;3690;55203;3142;55179;Población;108100.0;A
2008;3690;55203;3143;55179;Población;431450.0;A
2008;3690;55204;2352;55179;Población;6875.0;A
2008;3690;55204;2402;55179;Población;18400.0;A
2008;3690;55204;2482;55179;Población;15300.0;A
2008;3690;55204;2713;55179;Población;14825.0;A
2008;3690;55204;2797;55179;Población;8400.0;A
2008;3690;55204;2911;55179;Población;11275.0;A
2008;3690;55204;3023;55179;Población;22375.0;A
2008;3690;55204;3142;55179;Población;32825.0;A
2008;3690;55204;3143;55179;Población;130275.0;A
2008;3690;55205;2352;55179;Población;1575.0;A
2008;3690;55205;2402;55179;Población;3325.0;A
2008;3690;55205;2482;55179;Población;2350.0;A
2008;3690;55205;2713;55179;Población;3050.0;A
2008;3690;55205;2797;55179;Población;1100.0;A
2008;3690;55205;2911;55179;Población;2125.0;A
2008;3690;55205;3023;55179;Población;4475.0;A
2008;3690;55205;3142;55179;Población;6925.0;A
2008;3690;55205;3143;55179;Población;24925.0;A
2008;3690;55206;2352;55179;Población;875.0;A
2008;3690;55206;2402;55179;Población;1875.0;A
2008;3690;55206;2482;55179;Población;1725.0;A
2008;3690;55206;2713;55179;Población;1575.0;A
2008;3690;55206;2797;55179;Población;775.0;A
2008;3690;55206;2911;55179;Población;1500.0;A
2008;3690;55206;3023;55179;Población;3050.0;A
2008;3690;55206;3142;55179;Población;4125.0;A
2008;3690;55206;3143;55179;Población;15500.0;A
2008;3690;55208;2352;55179;Población;775.0;A
2008;3690;55208;2402;55179;Población;1125.0;A
2008;3690;55208;2482;55179;Población;1300.0;A
2008;3690;55208;2713;55179;Población;1450.0;A
2008;3690;55208;2797;55179;Población;575.0;A
2008;3690;55208;2911;55179;Población;775.0;A
2008;3690;55208;3023;55179;Población;2600.0;A
2008;3690;55208;3142;55179;Población;2550.0;A
2008;3690;55208;3143;55179;Población;11150.0;A
2008;3690;55207;2352;55179;Población;39825.0;A
2008;3690;55207;2402;55179;Población;76225.0;A
2008;3690;55207;2482;55179;Población;73375.0;A
2008;3690;55207;2713;55179;Población;76075.0;A
2008;3690;55207;2797;55179;Población;38675.0;A
2008;3690;55207;2911;55179;Población;54500.0;A
2008;3690;55207;3023;55179;Población;100100.0;A
2008;3690;55207;3142;55179;Población;154525.0;A
2008;3690;55207;3143;55179;Población;613300.0;A
2008;3691;55203;2352;55179;Población;56650.0;A
2008;3691;55203;2402;55179;Población;95700.0;A
2008;3691;55203;2482;55179;Población;90125.0;A
2008;3691;55203;2713;55179;Población;97575.0;A
2008;3691;55203;2797;55179;Población;49075.0;A
2008;3691;55203;2911;55179;Población;70700.0;A
2008;3691;55203;3023;55179;Población;123375.0;A
2008;3691;55203;3142;55179;Población;181625.0;A
2008;3691;55203;3143;55179;Población;764825.0;A
2008;3691;55204;2352;55179;Población;17475.0;A
2008;3691;55204;2402;55179;Población;46900.0;A
2008;3691;55204;2482;55179;Población;35875.0;A
2008;3691;55204;2713;55179;Población;39225.0;A
2008;3691;55204;2797;55179;Población;22500.0;A
2008;3691;55204;2911;55179;Población;36700.0;A
2008;3691;55204;3023;55179;Población;56550.0;A
2008;3691;55204;3142;55179;Población;79525.0;A
2008;3691;55204;3143;55179;Población;334750.0;A
2008;3691;55205;2352;55179;Población;5125.0;A
2008;3691;55205;2402;55179;Población;19550.0;A
2008;3691;55205;2482;55179;Población;9625.0;A
2008;3691;55205;2713;55179;Población;11325.0;A
2008;3691;55205;2797;55179;Población;6700.0;A
2008;3691;55205;2911;55179;Población;9025.0;A
2008;3691;55205;3023;55179;Población;17125.0;A
2008;3691;55205;3142;55179;Población;28225.0;A
2008;3691;55205;3143;55179;Población;106700.0;A
2008;3691;55206;2352;55179;Población;3075.0;A
2008;3691;55206;2402;55179;Población;9600.0;A
2008;3691;55206;2482;55179;Población;6725.0;A
2008;3691;55206;2713;55179;Población;6625.0;A
2008;3691;55206;2797;55179;Población;4400.0;A
2008;3691;55206;2911;55179;Población;5750.0;A
2008;3691;55206;3023;55179;Población;11775.0;A
2008;3691;55206;3142;55179;Población;17325.0;A
2008;3691;55206;3143;55179;Población;65275.0;A
2008;3691;55208;2352;55179;Población;1825.0;A
2008;3691;55208;2402;55179;Población;2950.0;A
2008;3691;55208;2482;55179;Población;2850.0;A
2008;3691;55208;2713;55179;Población;2800.0;A
2008;3691;55208;2797;55179;Población;1275.0;A
2008;3691;55208;2911;55179;Población;1650.0;A
2008;3691;55208;3023;55179;Población;5125.0;A
2008;3691;55208;3142;55179;Población;4850.0;A
2008;3691;55208;3143;55179;Población;23325.0;A
2008;3691;55207;2352;55179;Población;84150.0;A
2008;3691;55207;2402;55179;Población;174700.0;A
2008;3691;55207;2482;55179;Población;145200.0;A
2008;3691;55207;2713;55179;Población;157550.0;A
2008;3691;55207;2797;55179;Población;83950.0;A
2008;3691;55207;2911;55179;Población;123825.0;A
2008;3691;55207;3023;55179;Población;213950.0;A
2008;3691;55207;3142;55179;Población;311550.0;A
2008;3691;55207;3143;55179;Población;1294875.0;A
2009;3689;55203;2352;55179;Población;26925.0;A
2009;3689;55203;2402;55179;Población;44450.0;A
2009;3689;55203;2482;55179;Población;37225.0;A
2009;3689;55203;2713;55179;Población;43175.0;A
2009;3689;55203;2797;55179;Población;21125.0;A
2009;3689;55203;2911;55179;Población;31875.0;A
2009;3689;55203;3023;55179;Población;56875.0;A
2009;3689;55203;3142;55179;Población;72975.0;A
2009;3689;55203;3143;55179;Población;334625.0;A
2009;3689;55204;2352;55179;Población;11000.0;A
2009;3689;55204;2402;55179;Población;29450.0;A
2009;3689;55204;2482;55179;Población;21975.0;A
2009;3689;55204;2713;55179;Población;25325.0;A
2009;3689;55204;2797;55179;Población;14250.0;A
2009;3689;55204;2911;55179;Población;26925.0;A
2009;3689;55204;3023;55179;Población;35275.0;A
2009;3689;55204;3142;55179;Población;48425.0;A
2009;3689;55204;3143;55179;Población;212625.0;A
2009;3689;55205;2352;55179;Población;3675.0;A
2009;3689;55205;2402;55179;Población;17050.0;A
2009;3689;55205;2482;55179;Población;7150.0;A
2009;3689;55205;2713;55179;Población;8375.0;A
2009;3689;55205;2797;55179;Población;5550.0;A
2009;3689;55205;2911;55179;Población;6625.0;A
2009;3689;55205;3023;55179;Población;12775.0;A
2009;3689;55205;3142;55179;Población;21925.0;A
2009;3689;55205;3143;55179;Población;83125.0;A
2009;3689;55206;2352;55179;Población;2475.0;A
2009;3689;55206;2402;55179;Población;8425.0;A
2009;3689;55206;2482;55179;Población;4600.0;A
2009;3689;55206;2713;55179;Población;5250.0;A
2009;3689;55206;2797;55179;Población;3875.0;A
2009;3689;55206;2911;55179;Población;4250.0;A
2009;3689;55206;3023;55179;Población;8925.0;A
2009;3689;55206;3142;55179;Población;14225.0;A
2009;3689;55206;3143;55179;Población;52025.0;A
2009;3689;55208;2352;55179;Población;1050.0;A
2009;3689;55208;2402;55179;Población;1725.0;A
2009;3689;55208;2482;55179;Población;1450.0;A
2009;3689;55208;2713;55179;Población;1200.0;A
2009;3689;55208;2797;55179;Población;600.0;A
2009;3689;55208;2911;55179;Población;750.0;A
2009;3689;55208;3023;55179;Población;2500.0;A
2009;3689;55208;3142;55179;Población;2250.0;A
2009;3689;55208;3143;55179;Población;11525.0;A
2009;3689;55207;2352;55179;Población;45125.0;A
2009;3689;55207;2402;55179;Población;101100.0;A
2009;3689;55207;2482;55179;Población;72400.0;A
2009;3689;55207;2713;55179;Población;83325.0;A
2009;3689;55207;2797;55179;Población;45400.0;A
2009;3689;55207;2911;55179;Población;70425.0;A
2009;3689;55207;3023;55179;Población;116350.0;A
2009;3689;55207;3142;55179;Población;159800.0;A
2009;3689;55207;3143;55179;Población;693925.0;A
2009;3690;55203;2352;55179;Población;29850.0;A
2009;3690;55203;2402;55179;Población;51800.0;A
2009;3690;55203;2482;55179;Población;52475.0;A
2009;3690;55203;2713;55179;Población;55550.0;A
2009;3690;55203;2797;55179;Población;27975.0;A
2009;3690;55203;2911;55179;Población;39425.0;A
2009;3690;55203;3023;55179;Población;68975.0;A
2009;3690;55203;3142;55179;Población;107825.0;A
2009;3690;55203;3143;55179;Población;433875.0;A
2009;3690;55204;2352;55179;Población;7075.0;A
2009;3690;55204;2402;55179;Población;19050.0;A
2009;3690;55204;2482;55179;Población;15700.0;A
2009;3690;55204;2713;55179;Población;15550.0;A
2009;3690;55204;2797;55179;Población;9075.0;A
2009;3690;55204;2911;55179;Población;11825.0;A
2009;3690;55204;3023;55179;Población;22975.0;A
2009;3690;55204;3142;55179;Población;34575.0;A
