OBS_STATUS;TERRITORIO;CAT_HOTELES;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;ES61;264447;2020;55698;VIAJEROS;3885459.077386264;A
A;ES61;264447;2020;55565;VIAJEROS;2766574.90850369;A
A;ES61;264447;2020;55697;VIAJEROS;1118884.168882574;A
A;ES61;264447;2019;55698;VIAJEROS;11579882;A
A;ES61;264447;2019;55565;VIAJEROS;5805884.081374445;A
A;ES61;264447;2019;55697;VIAJEROS;5773997.548590099;A
A;ES61;264447;2018;55698;VIAJEROS;11119842;A
A;ES61;264447;2018;55565;VIAJEROS;5519308.141614393;A
A;ES61;264447;2018;55697;VIAJEROS;5600533.754443465;A
A;ES61;264447;2017;55698;VIAJEROS;10898895;A
A;ES61;264447;2017;55565;VIAJEROS;5260916.677943218;A
A;ES61;264447;2017;55697;VIAJEROS;5637978.60123666;A
A;ES61;264447;2016;55698;VIAJEROS;10653573;A
A;ES61;264447;2016;55565;VIAJEROS;5393268.037235613;A
A;ES61;264447;2016;55697;VIAJEROS;5260305.047435013;A
A;ES61;264447;2015;55698;VIAJEROS;9966379.032119589;A
A;ES61;264447;2015;55565;VIAJEROS;5257097.225491325;A
A;ES61;264447;2015;55697;VIAJEROS;4709281.806628263;A
A;ES61;264447;2014;55698;VIAJEROS;9151060.104718108;A
A;ES61;264447;2014;55565;VIAJEROS;4965728.724284491;A
A;ES61;264447;2014;55697;VIAJEROS;4185331.380433616;A
A;ES61;264447;2013;55698;VIAJEROS;8497261.348582;A
A;ES61;264447;2013;55565;VIAJEROS;4681435.598582;A
A;ES61;264447;2013;55697;VIAJEROS;3815825.75;A
A;ES61;264447;2012;55698;VIAJEROS;8209049.81;A
A;ES61;264447;2012;55565;VIAJEROS;4607869.79;A
A;ES61;264447;2012;55697;VIAJEROS;3601180.02;A
A;ES61;264447;2011;55698;VIAJEROS;8399590.74;A
A;ES61;264447;2011;55565;VIAJEROS;4912614.0;A
A;ES61;264447;2011;55697;VIAJEROS;3486976.74;A
A;ES61;264447;2010;55698;VIAJEROS;8120857.95;A
A;ES61;264447;2010;55565;VIAJEROS;4959518.72;A
A;ES61;264447;2010;55697;VIAJEROS;3161339.23;A
A;ES61;264447;2009;55698;VIAJEROS;7874169.15;A
A;ES61;264447;2009;55565;VIAJEROS;5019354.8;A
A;ES61;264447;2009;55697;VIAJEROS;2854814.35;A
A;ES61;264447;2008;55698;VIAJEROS;8380115.52;A
A;ES61;264447;2008;55565;VIAJEROS;5084974.48;A
A;ES61;264447;2008;55697;VIAJEROS;3295141.04;A
A;ES61;264446;2020;55698;VIAJEROS;1458585.582417196;A
A;ES61;264446;2020;55565;VIAJEROS;1011450.822310681;A
A;ES61;264446;2020;55697;VIAJEROS;447134.760106515;A
A;ES61;264446;2019;55698;VIAJEROS;4340600.95651507;A
A;ES61;264446;2019;55565;VIAJEROS;2289202.46231574;A
A;ES61;264446;2019;55697;VIAJEROS;2051398.49419933;A
A;ES61;264446;2018;55698;VIAJEROS;3907445.223868199;A
A;ES61;264446;2018;55565;VIAJEROS;2093552.647156289;A
A;ES61;264446;2018;55697;VIAJEROS;1813892.57671191;A
A;ES61;264446;2017;55698;VIAJEROS;3756306.993415918;A
A;ES61;264446;2017;55565;VIAJEROS;2003213.542820854;A
A;ES61;264446;2017;55697;VIAJEROS;1753093.450595064;A
A;ES61;264446;2016;55698;VIAJEROS;3682435.482270224;A
A;ES61;264446;2016;55565;VIAJEROS;2123962.06129332;A
A;ES61;264446;2016;55697;VIAJEROS;1558473.420976904;A
A;ES61;264446;2015;55698;VIAJEROS;3492267.024465502;A
A;ES61;264446;2015;55565;VIAJEROS;2079828.84452132;A
A;ES61;264446;2015;55697;VIAJEROS;1412438.179944182;A
A;ES61;264446;2014;55698;VIAJEROS;3476556.547729244;A
A;ES61;264446;2014;55565;VIAJEROS;2114661.753627331;A
A;ES61;264446;2014;55697;VIAJEROS;1361894.794101913;A
A;ES61;264446;2013;55698;VIAJEROS;3523031.45;A
A;ES61;264446;2013;55565;VIAJEROS;2096311.67;A
A;ES61;264446;2013;55697;VIAJEROS;1426719.78;A
A;ES61;264446;2012;55698;VIAJEROS;3411417.79;A
A;ES61;264446;2012;55565;VIAJEROS;1959570.9;A
A;ES61;264446;2012;55697;VIAJEROS;1451846.89;A
A;ES61;264446;2011;55698;VIAJEROS;3632700.58;A
A;ES61;264446;2011;55565;VIAJEROS;2182906.18;A
A;ES61;264446;2011;55697;VIAJEROS;1449794.4;A
A;ES61;264446;2010;55698;VIAJEROS;3437626.68;A
A;ES61;264446;2010;55565;VIAJEROS;2197086.06;A
A;ES61;264446;2010;55697;VIAJEROS;1240540.62;A
A;ES61;264446;2009;55698;VIAJEROS;3403881.33;A
A;ES61;264446;2009;55565;VIAJEROS;2168177.25;A
A;ES61;264446;2009;55697;VIAJEROS;1235704.08;A
A;ES61;264446;2008;55698;VIAJEROS;3954979.72;A
A;ES61;264446;2008;55565;VIAJEROS;2462929.15;A
A;ES61;264446;2008;55697;VIAJEROS;1492050.57;A
A;ES61;62148;2020;55698;VIAJEROS;488146.830219407;A
A;ES61;62148;2020;55565;VIAJEROS;383174.439921909;A
A;ES61;62148;2020;55697;VIAJEROS;104972.390297498;A
A;ES61;62148;2019;55698;VIAJEROS;1311172.501288573;A
A;ES61;62148;2019;55565;VIAJEROS;840987.308122951;A
A;ES61;62148;2019;55697;VIAJEROS;470185.193165622;A
A;ES61;62148;2018;55698;VIAJEROS;1318165.377242135;A
A;ES61;62148;2018;55565;VIAJEROS;826132.338390382;A
A;ES61;62148;2018;55697;VIAJEROS;492033.038851753;A
A;ES61;62148;2017;55698;VIAJEROS;1237964.069497764;A
A;ES61;62148;2017;55565;VIAJEROS;788400.576476203;A
A;ES61;62148;2017;55697;VIAJEROS;449563.493021561;A
A;ES61;62148;2016;55698;VIAJEROS;1178585.030866486;A
A;ES61;62148;2016;55565;VIAJEROS;751860.944306252;A
A;ES61;62148;2016;55697;VIAJEROS;426724.086560234;A
A;ES61;62148;2015;55698;VIAJEROS;1126557.058477724;A
A;ES61;62148;2015;55565;VIAJEROS;728954.654815025;A
A;ES61;62148;2015;55697;VIAJEROS;397602.403662699;A
A;ES61;62148;2014;55698;VIAJEROS;1110306.995346431;A
A;ES61;62148;2014;55565;VIAJEROS;718522.366861121;A
A;ES61;62148;2014;55697;VIAJEROS;391784.62848531;A
